1 fold training
['[0,5000]', 'loss=0.051', 'test_acu=0.403', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.040', 'test_acu=0.512', 'test_f1_score=0.058', 'test_acc=0.240', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.222', 'test_macc=0.611', 'test_g_mean=0.471']
['[200,5000]', 'loss=0.040', 'test_acu=0.510', 'test_f1_score=0.057', 'test_acc=0.222', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.204', 'test_macc=0.602', 'test_g_mean=0.451']
['[300,5000]', 'loss=0.040', 'test_acu=0.510', 'test_f1_score=0.057', 'test_acc=0.222', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.204', 'test_macc=0.602', 'test_g_mean=0.451']
['[400,5000]', 'loss=0.040', 'test_acu=0.506', 'test_f1_score=0.056', 'test_acc=0.211', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.192', 'test_macc=0.596', 'test_g_mean=0.438']
['[500,5000]', 'loss=0.040', 'test_acu=0.512', 'test_f1_score=0.055', 'test_acc=0.199', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.180', 'test_macc=0.590', 'test_g_mean=0.424']
['[600,5000]', 'loss=0.040', 'test_acu=0.515', 'test_f1_score=0.054', 'test_acc=0.181', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.162', 'test_macc=0.581', 'test_g_mean=0.402']
['[700,5000]', 'loss=0.041', 'test_acu=0.524', 'test_f1_score=0.054', 'test_acc=0.181', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.162', 'test_macc=0.581', 'test_g_mean=0.402']
['[800,5000]', 'loss=0.041', 'test_acu=0.522', 'test_f1_score=0.054', 'test_acc=0.187', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.168', 'test_macc=0.584', 'test_g_mean=0.409']
['[900,5000]', 'loss=0.041', 'test_acu=0.525', 'test_f1_score=0.054', 'test_acc=0.187', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.168', 'test_macc=0.584', 'test_g_mean=0.409']
['[1000,5000]', 'loss=0.041', 'test_acu=0.531', 'test_f1_score=0.054', 'test_acc=0.181', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.162', 'test_macc=0.581', 'test_g_mean=0.402']
['[1100,5000]', 'loss=0.041', 'test_acu=0.530', 'test_f1_score=0.054', 'test_acc=0.175', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.156', 'test_macc=0.578', 'test_g_mean=0.395']
['[1200,5000]', 'loss=0.041', 'test_acu=0.531', 'test_f1_score=0.053', 'test_acc=0.170', 'test_ppr=0.027', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[1300,5000]', 'loss=0.041', 'test_acu=0.531', 'test_f1_score=0.053', 'test_acc=0.170', 'test_ppr=0.027', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[1400,5000]', 'loss=0.041', 'test_acu=0.533', 'test_f1_score=0.053', 'test_acc=0.170', 'test_ppr=0.027', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
