1 fold training
['[0,5000]', 'loss=0.574', 'test_acu=0.587', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.560', 'test_acu=0.552', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.548', 'test_acu=0.539', 'test_f1_score=0.046', 'test_acc=0.029', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.077']
['[300,5000]', 'loss=0.538', 'test_acu=0.539', 'test_f1_score=0.046', 'test_acc=0.035', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.109']
['[400,5000]', 'loss=0.530', 'test_acu=0.531', 'test_f1_score=0.047', 'test_acc=0.047', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[500,5000]', 'loss=0.523', 'test_acu=0.524', 'test_f1_score=0.049', 'test_acc=0.088', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.066', 'test_macc=0.533', 'test_g_mean=0.257']
['[600,5000]', 'loss=0.518', 'test_acu=0.516', 'test_f1_score=0.051', 'test_acc=0.123', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.102', 'test_macc=0.551', 'test_g_mean=0.319']
['[700,5000]', 'loss=0.514', 'test_acu=0.519', 'test_f1_score=0.056', 'test_acc=0.205', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.186', 'test_macc=0.593', 'test_g_mean=0.431']
['[800,5000]', 'loss=0.510', 'test_acu=0.518', 'test_f1_score=0.045', 'test_acc=0.251', 'test_ppr=0.023', 'test_sen=0.750', 'test_spe=0.240', 'test_macc=0.495', 'test_g_mean=0.424']
['[900,5000]', 'loss=0.507', 'test_acu=0.519', 'test_f1_score=0.047', 'test_acc=0.287', 'test_ppr=0.024', 'test_sen=0.750', 'test_spe=0.275', 'test_macc=0.513', 'test_g_mean=0.455']
['[1000,5000]', 'loss=0.504', 'test_acu=0.521', 'test_f1_score=0.049', 'test_acc=0.322', 'test_ppr=0.025', 'test_sen=0.750', 'test_spe=0.311', 'test_macc=0.531', 'test_g_mean=0.483']
['[1100,5000]', 'loss=0.502', 'test_acu=0.515', 'test_f1_score=0.050', 'test_acc=0.339', 'test_ppr=0.026', 'test_sen=0.750', 'test_spe=0.329', 'test_macc=0.540', 'test_g_mean=0.497']
['[1200,5000]', 'loss=0.499', 'test_acu=0.509', 'test_f1_score=0.052', 'test_acc=0.357', 'test_ppr=0.027', 'test_sen=0.750', 'test_spe=0.347', 'test_macc=0.549', 'test_g_mean=0.510']
['[1300,5000]', 'loss=0.497', 'test_acu=0.507', 'test_f1_score=0.055', 'test_acc=0.392', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.383', 'test_macc=0.567', 'test_g_mean=0.536']
['[1400,5000]', 'loss=0.495', 'test_acu=0.509', 'test_f1_score=0.055', 'test_acc=0.392', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.383', 'test_macc=0.567', 'test_g_mean=0.536']
['[1500,5000]', 'loss=0.493', 'test_acu=0.506', 'test_f1_score=0.055', 'test_acc=0.392', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.383', 'test_macc=0.567', 'test_g_mean=0.536']
['[1600,5000]', 'loss=0.492', 'test_acu=0.501', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1700,5000]', 'loss=0.490', 'test_acu=0.496', 'test_f1_score=0.056', 'test_acc=0.404', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.395', 'test_macc=0.573', 'test_g_mean=0.544']
['[1800,5000]', 'loss=0.488', 'test_acu=0.496', 'test_f1_score=0.056', 'test_acc=0.409', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.401', 'test_macc=0.576', 'test_g_mean=0.549']
['[1900,5000]', 'loss=0.487', 'test_acu=0.493', 'test_f1_score=0.057', 'test_acc=0.415', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.407', 'test_macc=0.579', 'test_g_mean=0.553']
['[2000,5000]', 'loss=0.485', 'test_acu=0.490', 'test_f1_score=0.058', 'test_acc=0.427', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.419', 'test_macc=0.585', 'test_g_mean=0.561']
['[2100,5000]', 'loss=0.484', 'test_acu=0.484', 'test_f1_score=0.058', 'test_acc=0.433', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.425', 'test_macc=0.588', 'test_g_mean=0.565']
['[2200,5000]', 'loss=0.482', 'test_acu=0.479', 'test_f1_score=0.059', 'test_acc=0.439', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.431', 'test_macc=0.591', 'test_g_mean=0.569']
['[2300,5000]', 'loss=0.481', 'test_acu=0.479', 'test_f1_score=0.060', 'test_acc=0.450', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.443', 'test_macc=0.597', 'test_g_mean=0.576']
