1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.953', 'test_acu=0.588', 'test_f1_score=0.047', 'test_acc=0.041', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.018', 'test_macc=0.509', 'test_g_mean=0.134']
['[100,5000]', 'loss=0.306', 'test_acu=0.448', 'test_f1_score=0.048', 'test_acc=0.532', 'test_ppr=0.025', 'test_sen=0.500', 'test_spe=0.533', 'test_macc=0.516', 'test_g_mean=0.516']
['[200,5000]', 'loss=0.082', 'test_acu=0.419', 'test_f1_score=0.062', 'test_acc=0.474', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.467', 'test_macc=0.609', 'test_g_mean=0.592']
['[300,5000]', 'loss=0.042', 'test_acu=0.409', 'test_f1_score=0.087', 'test_acc=0.877', 'test_ppr=0.053', 'test_sen=0.250', 'test_spe=0.892', 'test_macc=0.571', 'test_g_mean=0.472']
['[400,5000]', 'loss=0.040', 'test_acu=0.428', 'test_f1_score=0.035', 'test_acc=0.029', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.012', 'test_macc=0.381', 'test_g_mean=0.095']
['[500,5000]', 'loss=0.040', 'test_acu=0.404', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.041', 'test_acu=0.392', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.041', 'test_acu=0.392', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.041', 'test_acu=0.391', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.041', 'test_acu=0.391', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.041', 'test_acu=0.391', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.041', 'test_acu=0.392', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.041', 'test_acu=0.391', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.041', 'test_acu=0.385', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.041', 'test_acu=0.572', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.041', 'test_acu=0.433', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.041', 'test_acu=0.443', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.041', 'test_acu=0.439', 'test_f1_score=0.037', 'test_acc=0.076', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.060', 'test_macc=0.405', 'test_g_mean=0.212']
['[1800,5000]', 'loss=0.041', 'test_acu=0.440', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.041', 'test_acu=0.440', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.041', 'test_acu=0.428', 'test_f1_score=0.040', 'test_acc=0.164', 'test_ppr=0.021', 'test_sen=0.750', 'test_spe=0.150', 'test_macc=0.450', 'test_g_mean=0.335']
['[2100,5000]', 'loss=0.041', 'test_acu=0.425', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.041', 'test_acu=0.419', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.041', 'test_acu=0.410', 'test_f1_score=0.038', 'test_acc=0.105', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.090', 'test_macc=0.420', 'test_g_mean=0.260']
['[2400,5000]', 'loss=0.041', 'test_acu=0.409', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.041', 'test_acu=0.404', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.041', 'test_acu=0.404', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.041', 'test_acu=0.406', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.041', 'test_acu=0.405', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.041', 'test_acu=0.408', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.041', 'test_acu=0.409', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.041', 'test_acu=0.406', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.041', 'test_acu=0.406', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.041', 'test_acu=0.398', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.041', 'test_acu=0.400', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.041', 'test_acu=0.406', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.041', 'test_acu=0.406', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.041', 'test_acu=0.391', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.041', 'test_acu=0.413', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.041', 'test_acu=0.415', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.041', 'test_acu=0.403', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.041', 'test_acu=0.386', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.041', 'test_acu=0.403', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4300,5000]', 'loss=0.041', 'test_acu=0.415', 'test_f1_score=0.000', 'test_acc=0.977', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
