1 fold training
['[0,5000]', 'loss=0.547', 'test_acu=0.587', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.529', 'test_acu=0.572', 'test_f1_score=0.046', 'test_acc=0.029', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.077']
['[200,5000]', 'loss=0.516', 'test_acu=0.563', 'test_f1_score=0.047', 'test_acc=0.041', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.018', 'test_macc=0.509', 'test_g_mean=0.134']
['[300,5000]', 'loss=0.508', 'test_acu=0.563', 'test_f1_score=0.048', 'test_acc=0.064', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.042', 'test_macc=0.521', 'test_g_mean=0.205']
['[400,5000]', 'loss=0.503', 'test_acu=0.564', 'test_f1_score=0.051', 'test_acc=0.123', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.102', 'test_macc=0.551', 'test_g_mean=0.319']
['[500,5000]', 'loss=0.499', 'test_acu=0.567', 'test_f1_score=0.052', 'test_acc=0.146', 'test_ppr=0.027', 'test_sen=1.000', 'test_spe=0.126', 'test_macc=0.563', 'test_g_mean=0.355']
['[600,5000]', 'loss=0.497', 'test_acu=0.570', 'test_f1_score=0.044', 'test_acc=0.234', 'test_ppr=0.023', 'test_sen=0.750', 'test_spe=0.222', 'test_macc=0.486', 'test_g_mean=0.408']
['[700,5000]', 'loss=0.495', 'test_acu=0.579', 'test_f1_score=0.032', 'test_acc=0.292', 'test_ppr=0.017', 'test_sen=0.500', 'test_spe=0.287', 'test_macc=0.394', 'test_g_mean=0.379']
['[800,5000]', 'loss=0.494', 'test_acu=0.585', 'test_f1_score=0.034', 'test_acc=0.333', 'test_ppr=0.018', 'test_sen=0.500', 'test_spe=0.329', 'test_macc=0.415', 'test_g_mean=0.406']
['[900,5000]', 'loss=0.493', 'test_acu=0.602', 'test_f1_score=0.037', 'test_acc=0.392', 'test_ppr=0.019', 'test_sen=0.500', 'test_spe=0.389', 'test_macc=0.445', 'test_g_mean=0.441']
['[1000,5000]', 'loss=0.493', 'test_acu=0.608', 'test_f1_score=0.038', 'test_acc=0.409', 'test_ppr=0.020', 'test_sen=0.500', 'test_spe=0.407', 'test_macc=0.454', 'test_g_mean=0.451']
['[1100,5000]', 'loss=0.492', 'test_acu=0.611', 'test_f1_score=0.040', 'test_acc=0.439', 'test_ppr=0.021', 'test_sen=0.500', 'test_spe=0.437', 'test_macc=0.469', 'test_g_mean=0.468']
['[1200,5000]', 'loss=0.492', 'test_acu=0.621', 'test_f1_score=0.041', 'test_acc=0.456', 'test_ppr=0.022', 'test_sen=0.500', 'test_spe=0.455', 'test_macc=0.478', 'test_g_mean=0.477']
['[1300,5000]', 'loss=0.492', 'test_acu=0.626', 'test_f1_score=0.043', 'test_acc=0.474', 'test_ppr=0.022', 'test_sen=0.500', 'test_spe=0.473', 'test_macc=0.487', 'test_g_mean=0.486']
['[1400,5000]', 'loss=0.492', 'test_acu=0.629', 'test_f1_score=0.043', 'test_acc=0.485', 'test_ppr=0.023', 'test_sen=0.500', 'test_spe=0.485', 'test_macc=0.493', 'test_g_mean=0.492']
['[1500,5000]', 'loss=0.492', 'test_acu=0.627', 'test_f1_score=0.044', 'test_acc=0.497', 'test_ppr=0.023', 'test_sen=0.500', 'test_spe=0.497', 'test_macc=0.499', 'test_g_mean=0.499']
['[1600,5000]', 'loss=0.492', 'test_acu=0.627', 'test_f1_score=0.022', 'test_acc=0.491', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.497', 'test_macc=0.374', 'test_g_mean=0.352']
['[1700,5000]', 'loss=0.491', 'test_acu=0.633', 'test_f1_score=0.023', 'test_acc=0.497', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.503', 'test_macc=0.376', 'test_g_mean=0.355']
['[1800,5000]', 'loss=0.491', 'test_acu=0.632', 'test_f1_score=0.023', 'test_acc=0.509', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.515', 'test_macc=0.382', 'test_g_mean=0.359']
['[1900,5000]', 'loss=0.491', 'test_acu=0.630', 'test_f1_score=0.023', 'test_acc=0.509', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.515', 'test_macc=0.382', 'test_g_mean=0.359']
['[2000,5000]', 'loss=0.491', 'test_acu=0.629', 'test_f1_score=0.024', 'test_acc=0.515', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.521', 'test_macc=0.385', 'test_g_mean=0.361']
['[2100,5000]', 'loss=0.491', 'test_acu=0.629', 'test_f1_score=0.024', 'test_acc=0.515', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.521', 'test_macc=0.385', 'test_g_mean=0.361']
['[2200,5000]', 'loss=0.491', 'test_acu=0.627', 'test_f1_score=0.024', 'test_acc=0.515', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.521', 'test_macc=0.385', 'test_g_mean=0.361']
['[2300,5000]', 'loss=0.491', 'test_acu=0.633', 'test_f1_score=0.024', 'test_acc=0.515', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.521', 'test_macc=0.385', 'test_g_mean=0.361']
['[2400,5000]', 'loss=0.491', 'test_acu=0.635', 'test_f1_score=0.024', 'test_acc=0.515', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.521', 'test_macc=0.385', 'test_g_mean=0.361']
['[2500,5000]', 'loss=0.491', 'test_acu=0.636', 'test_f1_score=0.024', 'test_acc=0.515', 'test_ppr=0.012', 'test_sen=0.250', 'test_spe=0.521', 'test_macc=0.385', 'test_g_mean=0.361']
['[2600,5000]', 'loss=0.490', 'test_acu=0.635', 'test_f1_score=0.024', 'test_acc=0.526', 'test_ppr=0.013', 'test_sen=0.250', 'test_spe=0.533', 'test_macc=0.391', 'test_g_mean=0.365']
['[2700,5000]', 'loss=0.490', 'test_acu=0.635', 'test_f1_score=0.024', 'test_acc=0.532', 'test_ppr=0.013', 'test_sen=0.250', 'test_spe=0.539', 'test_macc=0.394', 'test_g_mean=0.367']
['[2800,5000]', 'loss=0.490', 'test_acu=0.635', 'test_f1_score=0.025', 'test_acc=0.538', 'test_ppr=0.013', 'test_sen=0.250', 'test_spe=0.545', 'test_macc=0.397', 'test_g_mean=0.369']
