1 fold training
['[0,5000]', 'loss=0.596', 'test_acu=0.587', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.568', 'test_acu=0.548', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.547', 'test_acu=0.542', 'test_f1_score=0.046', 'test_acc=0.029', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.077']
['[300,5000]', 'loss=0.531', 'test_acu=0.537', 'test_f1_score=0.046', 'test_acc=0.035', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.109']
['[400,5000]', 'loss=0.520', 'test_acu=0.533', 'test_f1_score=0.047', 'test_acc=0.053', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.030', 'test_macc=0.515', 'test_g_mean=0.173']
['[500,5000]', 'loss=0.513', 'test_acu=0.515', 'test_f1_score=0.049', 'test_acc=0.094', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.072', 'test_macc=0.536', 'test_g_mean=0.268']
['[600,5000]', 'loss=0.508', 'test_acu=0.509', 'test_f1_score=0.051', 'test_acc=0.135', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.114', 'test_macc=0.557', 'test_g_mean=0.337']
['[700,5000]', 'loss=0.505', 'test_acu=0.509', 'test_f1_score=0.058', 'test_acc=0.234', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.216', 'test_macc=0.608', 'test_g_mean=0.464']
['[800,5000]', 'loss=0.503', 'test_acu=0.518', 'test_f1_score=0.046', 'test_acc=0.269', 'test_ppr=0.024', 'test_sen=0.750', 'test_spe=0.257', 'test_macc=0.504', 'test_g_mean=0.439']
['[900,5000]', 'loss=0.501', 'test_acu=0.515', 'test_f1_score=0.048', 'test_acc=0.304', 'test_ppr=0.025', 'test_sen=0.750', 'test_spe=0.293', 'test_macc=0.522', 'test_g_mean=0.469']
['[1000,5000]', 'loss=0.500', 'test_acu=0.516', 'test_f1_score=0.049', 'test_acc=0.322', 'test_ppr=0.025', 'test_sen=0.750', 'test_spe=0.311', 'test_macc=0.531', 'test_g_mean=0.483']
['[1100,5000]', 'loss=0.499', 'test_acu=0.512', 'test_f1_score=0.050', 'test_acc=0.339', 'test_ppr=0.026', 'test_sen=0.750', 'test_spe=0.329', 'test_macc=0.540', 'test_g_mean=0.497']
['[1200,5000]', 'loss=0.498', 'test_acu=0.507', 'test_f1_score=0.051', 'test_acc=0.351', 'test_ppr=0.027', 'test_sen=0.750', 'test_spe=0.341', 'test_macc=0.546', 'test_g_mean=0.506']
['[1300,5000]', 'loss=0.497', 'test_acu=0.501', 'test_f1_score=0.053', 'test_acc=0.374', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.365', 'test_macc=0.558', 'test_g_mean=0.523']
['[1400,5000]', 'loss=0.496', 'test_acu=0.503', 'test_f1_score=0.055', 'test_acc=0.392', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.383', 'test_macc=0.567', 'test_g_mean=0.536']
['[1500,5000]', 'loss=0.495', 'test_acu=0.500', 'test_f1_score=0.055', 'test_acc=0.392', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.383', 'test_macc=0.567', 'test_g_mean=0.536']
['[1600,5000]', 'loss=0.495', 'test_acu=0.503', 'test_f1_score=0.055', 'test_acc=0.392', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.383', 'test_macc=0.567', 'test_g_mean=0.536']
['[1700,5000]', 'loss=0.494', 'test_acu=0.497', 'test_f1_score=0.055', 'test_acc=0.392', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.383', 'test_macc=0.567', 'test_g_mean=0.536']
['[1800,5000]', 'loss=0.493', 'test_acu=0.491', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1900,5000]', 'loss=0.493', 'test_acu=0.490', 'test_f1_score=0.056', 'test_acc=0.404', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.395', 'test_macc=0.573', 'test_g_mean=0.544']
['[2000,5000]', 'loss=0.492', 'test_acu=0.481', 'test_f1_score=0.056', 'test_acc=0.409', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.401', 'test_macc=0.576', 'test_g_mean=0.549']
['[2100,5000]', 'loss=0.491', 'test_acu=0.475', 'test_f1_score=0.056', 'test_acc=0.409', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.401', 'test_macc=0.576', 'test_g_mean=0.549']
['[2200,5000]', 'loss=0.491', 'test_acu=0.475', 'test_f1_score=0.057', 'test_acc=0.415', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.407', 'test_macc=0.579', 'test_g_mean=0.553']
['[2300,5000]', 'loss=0.490', 'test_acu=0.470', 'test_f1_score=0.057', 'test_acc=0.421', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.413', 'test_macc=0.582', 'test_g_mean=0.557']
['[2400,5000]', 'loss=0.489', 'test_acu=0.467', 'test_f1_score=0.058', 'test_acc=0.427', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.419', 'test_macc=0.585', 'test_g_mean=0.561']
['[2500,5000]', 'loss=0.489', 'test_acu=0.467', 'test_f1_score=0.058', 'test_acc=0.433', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.425', 'test_macc=0.588', 'test_g_mean=0.565']
['[2600,5000]', 'loss=0.488', 'test_acu=0.467', 'test_f1_score=0.058', 'test_acc=0.433', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.425', 'test_macc=0.588', 'test_g_mean=0.565']
['[2700,5000]', 'loss=0.487', 'test_acu=0.469', 'test_f1_score=0.059', 'test_acc=0.439', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.431', 'test_macc=0.591', 'test_g_mean=0.569']
['[2800,5000]', 'loss=0.487', 'test_acu=0.466', 'test_f1_score=0.059', 'test_acc=0.439', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.431', 'test_macc=0.591', 'test_g_mean=0.569']
['[2900,5000]', 'loss=0.486', 'test_acu=0.460', 'test_f1_score=0.060', 'test_acc=0.450', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.443', 'test_macc=0.597', 'test_g_mean=0.576']
['[3000,5000]', 'loss=0.485', 'test_acu=0.452', 'test_f1_score=0.060', 'test_acc=0.450', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.443', 'test_macc=0.597', 'test_g_mean=0.576']
['[3100,5000]', 'loss=0.485', 'test_acu=0.452', 'test_f1_score=0.059', 'test_acc=0.444', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.437', 'test_macc=0.594', 'test_g_mean=0.573']
['[3200,5000]', 'loss=0.484', 'test_acu=0.454', 'test_f1_score=0.059', 'test_acc=0.444', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.437', 'test_macc=0.594', 'test_g_mean=0.573']
['[3300,5000]', 'loss=0.484', 'test_acu=0.452', 'test_f1_score=0.060', 'test_acc=0.450', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.443', 'test_macc=0.597', 'test_g_mean=0.576']
