1 fold training
['[0,5000]', 'loss=0.629', 'test_acu=0.587', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.595', 'test_acu=0.548', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.568', 'test_acu=0.540', 'test_f1_score=0.046', 'test_acc=0.029', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.077']
['[300,5000]', 'loss=0.549', 'test_acu=0.530', 'test_f1_score=0.046', 'test_acc=0.035', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.109']
['[400,5000]', 'loss=0.536', 'test_acu=0.518', 'test_f1_score=0.049', 'test_acc=0.094', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.072', 'test_macc=0.536', 'test_g_mean=0.268']
['[500,5000]', 'loss=0.526', 'test_acu=0.509', 'test_f1_score=0.054', 'test_acc=0.187', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.168', 'test_macc=0.584', 'test_g_mean=0.409']
['[600,5000]', 'loss=0.520', 'test_acu=0.513', 'test_f1_score=0.045', 'test_acc=0.251', 'test_ppr=0.023', 'test_sen=0.750', 'test_spe=0.240', 'test_macc=0.495', 'test_g_mean=0.424']
['[700,5000]', 'loss=0.515', 'test_acu=0.512', 'test_f1_score=0.048', 'test_acc=0.304', 'test_ppr=0.025', 'test_sen=0.750', 'test_spe=0.293', 'test_macc=0.522', 'test_g_mean=0.469']
['[800,5000]', 'loss=0.512', 'test_acu=0.515', 'test_f1_score=0.050', 'test_acc=0.333', 'test_ppr=0.026', 'test_sen=0.750', 'test_spe=0.323', 'test_macc=0.537', 'test_g_mean=0.492']
['[900,5000]', 'loss=0.509', 'test_acu=0.507', 'test_f1_score=0.052', 'test_acc=0.363', 'test_ppr=0.027', 'test_sen=0.750', 'test_spe=0.353', 'test_macc=0.552', 'test_g_mean=0.515']
['[1000,5000]', 'loss=0.507', 'test_acu=0.501', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1100,5000]', 'loss=0.505', 'test_acu=0.499', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1200,5000]', 'loss=0.503', 'test_acu=0.499', 'test_f1_score=0.057', 'test_acc=0.415', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.407', 'test_macc=0.579', 'test_g_mean=0.553']
['[1300,5000]', 'loss=0.501', 'test_acu=0.500', 'test_f1_score=0.057', 'test_acc=0.421', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.413', 'test_macc=0.582', 'test_g_mean=0.557']
['[1400,5000]', 'loss=0.500', 'test_acu=0.500', 'test_f1_score=0.057', 'test_acc=0.421', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.413', 'test_macc=0.582', 'test_g_mean=0.557']
['[1500,5000]', 'loss=0.498', 'test_acu=0.500', 'test_f1_score=0.058', 'test_acc=0.433', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.425', 'test_macc=0.588', 'test_g_mean=0.565']
['[1600,5000]', 'loss=0.497', 'test_acu=0.500', 'test_f1_score=0.059', 'test_acc=0.444', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.437', 'test_macc=0.594', 'test_g_mean=0.573']
['[1700,5000]', 'loss=0.496', 'test_acu=0.497', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[1800,5000]', 'loss=0.494', 'test_acu=0.496', 'test_f1_score=0.062', 'test_acc=0.468', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.461', 'test_macc=0.606', 'test_g_mean=0.588']
['[1900,5000]', 'loss=0.493', 'test_acu=0.499', 'test_f1_score=0.062', 'test_acc=0.474', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.467', 'test_macc=0.609', 'test_g_mean=0.592']
['[2000,5000]', 'loss=0.492', 'test_acu=0.497', 'test_f1_score=0.063', 'test_acc=0.480', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.612', 'test_g_mean=0.596']
['[2100,5000]', 'loss=0.490', 'test_acu=0.499', 'test_f1_score=0.064', 'test_acc=0.485', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.479', 'test_macc=0.615', 'test_g_mean=0.599']
['[2200,5000]', 'loss=0.489', 'test_acu=0.497', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[2300,5000]', 'loss=0.488', 'test_acu=0.497', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[2400,5000]', 'loss=0.487', 'test_acu=0.493', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[2500,5000]', 'loss=0.485', 'test_acu=0.493', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[2600,5000]', 'loss=0.484', 'test_acu=0.493', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[2700,5000]', 'loss=0.483', 'test_acu=0.494', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[2800,5000]', 'loss=0.482', 'test_acu=0.485', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[2900,5000]', 'loss=0.480', 'test_acu=0.485', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[3000,5000]', 'loss=0.479', 'test_acu=0.482', 'test_f1_score=0.065', 'test_acc=0.491', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.485', 'test_macc=0.618', 'test_g_mean=0.603']
['[3100,5000]', 'loss=0.478', 'test_acu=0.481', 'test_f1_score=0.063', 'test_acc=0.480', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.612', 'test_g_mean=0.596']
['[3200,5000]', 'loss=0.477', 'test_acu=0.481', 'test_f1_score=0.063', 'test_acc=0.480', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.612', 'test_g_mean=0.596']
['[3300,5000]', 'loss=0.475', 'test_acu=0.481', 'test_f1_score=0.063', 'test_acc=0.480', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.612', 'test_g_mean=0.596']
['[3400,5000]', 'loss=0.474', 'test_acu=0.481', 'test_f1_score=0.063', 'test_acc=0.480', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.612', 'test_g_mean=0.596']
['[3500,5000]', 'loss=0.473', 'test_acu=0.481', 'test_f1_score=0.062', 'test_acc=0.474', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.467', 'test_macc=0.609', 'test_g_mean=0.592']
['[3600,5000]', 'loss=0.471', 'test_acu=0.482', 'test_f1_score=0.062', 'test_acc=0.474', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.467', 'test_macc=0.609', 'test_g_mean=0.592']
['[3700,5000]', 'loss=0.470', 'test_acu=0.485', 'test_f1_score=0.062', 'test_acc=0.474', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.467', 'test_macc=0.609', 'test_g_mean=0.592']
['[3800,5000]', 'loss=0.469', 'test_acu=0.487', 'test_f1_score=0.063', 'test_acc=0.480', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.612', 'test_g_mean=0.596']
['[3900,5000]', 'loss=0.468', 'test_acu=0.487', 'test_f1_score=0.063', 'test_acc=0.480', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.612', 'test_g_mean=0.596']
['[4000,5000]', 'loss=0.466', 'test_acu=0.487', 'test_f1_score=0.062', 'test_acc=0.474', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.467', 'test_macc=0.609', 'test_g_mean=0.592']
