1 fold training
['[0,5000]', 'loss=0.614', 'test_acu=0.587', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.587', 'test_acu=0.549', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.565', 'test_acu=0.539', 'test_f1_score=0.046', 'test_acc=0.029', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.077']
['[300,5000]', 'loss=0.549', 'test_acu=0.537', 'test_f1_score=0.046', 'test_acc=0.035', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.109']
['[400,5000]', 'loss=0.537', 'test_acu=0.534', 'test_f1_score=0.048', 'test_acc=0.076', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.054', 'test_macc=0.527', 'test_g_mean=0.232']
['[500,5000]', 'loss=0.529', 'test_acu=0.524', 'test_f1_score=0.051', 'test_acc=0.123', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.102', 'test_macc=0.551', 'test_g_mean=0.319']
['[600,5000]', 'loss=0.523', 'test_acu=0.519', 'test_f1_score=0.056', 'test_acc=0.205', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.186', 'test_macc=0.593', 'test_g_mean=0.431']
['[700,5000]', 'loss=0.519', 'test_acu=0.510', 'test_f1_score=0.045', 'test_acc=0.257', 'test_ppr=0.023', 'test_sen=0.750', 'test_spe=0.246', 'test_macc=0.498', 'test_g_mean=0.429']
['[800,5000]', 'loss=0.515', 'test_acu=0.515', 'test_f1_score=0.047', 'test_acc=0.292', 'test_ppr=0.024', 'test_sen=0.750', 'test_spe=0.281', 'test_macc=0.516', 'test_g_mean=0.459']
['[900,5000]', 'loss=0.513', 'test_acu=0.516', 'test_f1_score=0.050', 'test_acc=0.327', 'test_ppr=0.026', 'test_sen=0.750', 'test_spe=0.317', 'test_macc=0.534', 'test_g_mean=0.488']
['[1000,5000]', 'loss=0.511', 'test_acu=0.519', 'test_f1_score=0.051', 'test_acc=0.345', 'test_ppr=0.026', 'test_sen=0.750', 'test_spe=0.335', 'test_macc=0.543', 'test_g_mean=0.501']
['[1100,5000]', 'loss=0.509', 'test_acu=0.518', 'test_f1_score=0.052', 'test_acc=0.363', 'test_ppr=0.027', 'test_sen=0.750', 'test_spe=0.353', 'test_macc=0.552', 'test_g_mean=0.515']
['[1200,5000]', 'loss=0.508', 'test_acu=0.519', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1300,5000]', 'loss=0.507', 'test_acu=0.519', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1400,5000]', 'loss=0.505', 'test_acu=0.519', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1500,5000]', 'loss=0.504', 'test_acu=0.521', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1600,5000]', 'loss=0.503', 'test_acu=0.518', 'test_f1_score=0.056', 'test_acc=0.409', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.401', 'test_macc=0.576', 'test_g_mean=0.549']
['[1700,5000]', 'loss=0.502', 'test_acu=0.518', 'test_f1_score=0.057', 'test_acc=0.415', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.407', 'test_macc=0.579', 'test_g_mean=0.553']
['[1800,5000]', 'loss=0.501', 'test_acu=0.516', 'test_f1_score=0.057', 'test_acc=0.421', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.413', 'test_macc=0.582', 'test_g_mean=0.557']
['[1900,5000]', 'loss=0.501', 'test_acu=0.513', 'test_f1_score=0.058', 'test_acc=0.427', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.419', 'test_macc=0.585', 'test_g_mean=0.561']
['[2000,5000]', 'loss=0.500', 'test_acu=0.510', 'test_f1_score=0.058', 'test_acc=0.433', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.425', 'test_macc=0.588', 'test_g_mean=0.565']
['[2100,5000]', 'loss=0.499', 'test_acu=0.507', 'test_f1_score=0.058', 'test_acc=0.433', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.425', 'test_macc=0.588', 'test_g_mean=0.565']
['[2200,5000]', 'loss=0.498', 'test_acu=0.507', 'test_f1_score=0.059', 'test_acc=0.439', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.431', 'test_macc=0.591', 'test_g_mean=0.569']
['[2300,5000]', 'loss=0.497', 'test_acu=0.509', 'test_f1_score=0.059', 'test_acc=0.439', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.431', 'test_macc=0.591', 'test_g_mean=0.569']
['[2400,5000]', 'loss=0.497', 'test_acu=0.510', 'test_f1_score=0.059', 'test_acc=0.444', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.437', 'test_macc=0.594', 'test_g_mean=0.573']
['[2500,5000]', 'loss=0.496', 'test_acu=0.512', 'test_f1_score=0.060', 'test_acc=0.450', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.443', 'test_macc=0.597', 'test_g_mean=0.576']
['[2600,5000]', 'loss=0.495', 'test_acu=0.513', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[2700,5000]', 'loss=0.494', 'test_acu=0.510', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[2800,5000]', 'loss=0.494', 'test_acu=0.509', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[2900,5000]', 'loss=0.493', 'test_acu=0.503', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[3000,5000]', 'loss=0.492', 'test_acu=0.504', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[3100,5000]', 'loss=0.492', 'test_acu=0.503', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[3200,5000]', 'loss=0.491', 'test_acu=0.503', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[3300,5000]', 'loss=0.491', 'test_acu=0.503', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[3400,5000]', 'loss=0.490', 'test_acu=0.503', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[3500,5000]', 'loss=0.489', 'test_acu=0.501', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[3600,5000]', 'loss=0.489', 'test_acu=0.500', 'test_f1_score=0.061', 'test_acc=0.456', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.449', 'test_macc=0.600', 'test_g_mean=0.580']
['[3700,5000]', 'loss=0.488', 'test_acu=0.497', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[3800,5000]', 'loss=0.488', 'test_acu=0.496', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[3900,5000]', 'loss=0.487', 'test_acu=0.496', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4000,5000]', 'loss=0.487', 'test_acu=0.496', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4100,5000]', 'loss=0.486', 'test_acu=0.497', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4200,5000]', 'loss=0.486', 'test_acu=0.497', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4300,5000]', 'loss=0.485', 'test_acu=0.497', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4400,5000]', 'loss=0.485', 'test_acu=0.497', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4500,5000]', 'loss=0.484', 'test_acu=0.499', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4600,5000]', 'loss=0.484', 'test_acu=0.499', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4700,5000]', 'loss=0.483', 'test_acu=0.499', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4800,5000]', 'loss=0.483', 'test_acu=0.499', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[4900,5000]', 'loss=0.482', 'test_acu=0.499', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
2 fold training
['[0,5000]', 'loss=0.590', 'test_acu=0.870', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.563', 'test_acu=0.886', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.543', 'test_acu=0.897', 'test_f1_score=0.046', 'test_acc=0.029', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.077']
