1 fold training
['[0,5000]', 'loss=0.632', 'test_acu=0.587', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.600', 'test_acu=0.545', 'test_f1_score=0.046', 'test_acc=0.023', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.574', 'test_acu=0.537', 'test_f1_score=0.046', 'test_acc=0.029', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.006', 'test_macc=0.503', 'test_g_mean=0.077']
['[300,5000]', 'loss=0.554', 'test_acu=0.531', 'test_f1_score=0.046', 'test_acc=0.035', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.109']
['[400,5000]', 'loss=0.540', 'test_acu=0.518', 'test_f1_score=0.048', 'test_acc=0.076', 'test_ppr=0.025', 'test_sen=1.000', 'test_spe=0.054', 'test_macc=0.527', 'test_g_mean=0.232']
['[500,5000]', 'loss=0.530', 'test_acu=0.510', 'test_f1_score=0.050', 'test_acc=0.117', 'test_ppr=0.026', 'test_sen=1.000', 'test_spe=0.096', 'test_macc=0.548', 'test_g_mean=0.310']
['[600,5000]', 'loss=0.523', 'test_acu=0.510', 'test_f1_score=0.056', 'test_acc=0.211', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.192', 'test_macc=0.596', 'test_g_mean=0.438']
['[700,5000]', 'loss=0.518', 'test_acu=0.513', 'test_f1_score=0.045', 'test_acc=0.263', 'test_ppr=0.023', 'test_sen=0.750', 'test_spe=0.251', 'test_macc=0.501', 'test_g_mean=0.434']
['[800,5000]', 'loss=0.514', 'test_acu=0.513', 'test_f1_score=0.048', 'test_acc=0.310', 'test_ppr=0.025', 'test_sen=0.750', 'test_spe=0.299', 'test_macc=0.525', 'test_g_mean=0.474']
['[900,5000]', 'loss=0.511', 'test_acu=0.516', 'test_f1_score=0.050', 'test_acc=0.327', 'test_ppr=0.026', 'test_sen=0.750', 'test_spe=0.317', 'test_macc=0.534', 'test_g_mean=0.488']
['[1000,5000]', 'loss=0.509', 'test_acu=0.510', 'test_f1_score=0.052', 'test_acc=0.357', 'test_ppr=0.027', 'test_sen=0.750', 'test_spe=0.347', 'test_macc=0.549', 'test_g_mean=0.510']
['[1100,5000]', 'loss=0.507', 'test_acu=0.507', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1200,5000]', 'loss=0.505', 'test_acu=0.506', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1300,5000]', 'loss=0.503', 'test_acu=0.501', 'test_f1_score=0.055', 'test_acc=0.398', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.389', 'test_macc=0.570', 'test_g_mean=0.540']
['[1400,5000]', 'loss=0.502', 'test_acu=0.501', 'test_f1_score=0.056', 'test_acc=0.409', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.401', 'test_macc=0.576', 'test_g_mean=0.549']
['[1500,5000]', 'loss=0.500', 'test_acu=0.503', 'test_f1_score=0.057', 'test_acc=0.415', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.407', 'test_macc=0.579', 'test_g_mean=0.553']
['[1600,5000]', 'loss=0.499', 'test_acu=0.503', 'test_f1_score=0.057', 'test_acc=0.421', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.413', 'test_macc=0.582', 'test_g_mean=0.557']
['[1700,5000]', 'loss=0.498', 'test_acu=0.499', 'test_f1_score=0.059', 'test_acc=0.444', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.437', 'test_macc=0.594', 'test_g_mean=0.573']
['[1800,5000]', 'loss=0.496', 'test_acu=0.493', 'test_f1_score=0.059', 'test_acc=0.444', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.437', 'test_macc=0.594', 'test_g_mean=0.573']
['[1900,5000]', 'loss=0.495', 'test_acu=0.493', 'test_f1_score=0.061', 'test_acc=0.462', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
