1 fold training
['[0,5000]', 'loss=0.034', 'test_acu=0.734', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.033', 'test_acu=0.471', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.033', 'test_acu=0.374', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[300,5000]', 'loss=0.033', 'test_acu=0.335', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[400,5000]', 'loss=0.033', 'test_acu=0.333', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.033', 'test_acu=0.332', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[600,5000]', 'loss=0.034', 'test_acu=0.329', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[700,5000]', 'loss=0.034', 'test_acu=0.329', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[800,5000]', 'loss=0.034', 'test_acu=0.334', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[900,5000]', 'loss=0.034', 'test_acu=0.340', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1000,5000]', 'loss=0.034', 'test_acu=0.346', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1100,5000]', 'loss=0.034', 'test_acu=0.349', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1200,5000]', 'loss=0.034', 'test_acu=0.360', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1300,5000]', 'loss=0.034', 'test_acu=0.366', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1400,5000]', 'loss=0.034', 'test_acu=0.377', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1500,5000]', 'loss=0.034', 'test_acu=0.399', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1600,5000]', 'loss=0.034', 'test_acu=0.420', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1700,5000]', 'loss=0.034', 'test_acu=0.443', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[1800,5000]', 'loss=0.034', 'test_acu=0.458', 'test_f1_score=0.034', 'test_acc=0.030', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.014', 'test_macc=0.507', 'test_g_mean=0.117']
['[1900,5000]', 'loss=0.034', 'test_acu=0.471', 'test_f1_score=0.034', 'test_acc=0.030', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.014', 'test_macc=0.507', 'test_g_mean=0.117']
['[2000,5000]', 'loss=0.034', 'test_acu=0.484', 'test_f1_score=0.034', 'test_acc=0.030', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.014', 'test_macc=0.507', 'test_g_mean=0.117']
['[2100,5000]', 'loss=0.034', 'test_acu=0.497', 'test_f1_score=0.034', 'test_acc=0.030', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.014', 'test_macc=0.507', 'test_g_mean=0.117']
['[2200,5000]', 'loss=0.034', 'test_acu=0.510', 'test_f1_score=0.034', 'test_acc=0.030', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.014', 'test_macc=0.507', 'test_g_mean=0.117']
