1 fold training
['[0,5000]', 'loss=0.598', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.559', 'test_acu=0.646', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.532', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.515', 'test_acu=0.636', 'test_f1_score=0.033', 'test_acc=0.020', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.059']
['[400,5000]', 'loss=0.505', 'test_acu=0.633', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.500', 'test_acu=0.633', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[600,5000]', 'loss=0.496', 'test_acu=0.630', 'test_f1_score=0.034', 'test_acc=0.047', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.031', 'test_macc=0.515', 'test_g_mean=0.176']
['[700,5000]', 'loss=0.494', 'test_acu=0.629', 'test_f1_score=0.035', 'test_acc=0.077', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.062', 'test_macc=0.531', 'test_g_mean=0.248']
['[800,5000]', 'loss=0.493', 'test_acu=0.629', 'test_f1_score=0.029', 'test_acc=0.111', 'test_ppr=0.015', 'test_sen=0.800', 'test_spe=0.099', 'test_macc=0.450', 'test_g_mean=0.282']
['[900,5000]', 'loss=0.492', 'test_acu=0.631', 'test_f1_score=0.030', 'test_acc=0.141', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.130', 'test_macc=0.465', 'test_g_mean=0.323']
['[1000,5000]', 'loss=0.491', 'test_acu=0.630', 'test_f1_score=0.031', 'test_acc=0.172', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.161', 'test_macc=0.480', 'test_g_mean=0.359']
['[1100,5000]', 'loss=0.491', 'test_acu=0.629', 'test_f1_score=0.033', 'test_acc=0.205', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.195', 'test_macc=0.498', 'test_g_mean=0.395']
['[1200,5000]', 'loss=0.490', 'test_acu=0.629', 'test_f1_score=0.033', 'test_acc=0.222', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.212', 'test_macc=0.506', 'test_g_mean=0.412']
['[1300,5000]', 'loss=0.490', 'test_acu=0.629', 'test_f1_score=0.034', 'test_acc=0.239', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.229', 'test_macc=0.515', 'test_g_mean=0.428']
['[1400,5000]', 'loss=0.490', 'test_acu=0.629', 'test_f1_score=0.035', 'test_acc=0.253', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.243', 'test_macc=0.522', 'test_g_mean=0.441']
['[1500,5000]', 'loss=0.489', 'test_acu=0.629', 'test_f1_score=0.035', 'test_acc=0.266', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.257', 'test_macc=0.528', 'test_g_mean=0.453']
['[1600,5000]', 'loss=0.489', 'test_acu=0.629', 'test_f1_score=0.036', 'test_acc=0.273', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.264', 'test_macc=0.532', 'test_g_mean=0.459']
['[1700,5000]', 'loss=0.489', 'test_acu=0.629', 'test_f1_score=0.027', 'test_acc=0.283', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.277', 'test_macc=0.439', 'test_g_mean=0.408']
['[1800,5000]', 'loss=0.488', 'test_acu=0.629', 'test_f1_score=0.028', 'test_acc=0.300', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.295', 'test_macc=0.447', 'test_g_mean=0.420']
['[1900,5000]', 'loss=0.488', 'test_acu=0.629', 'test_f1_score=0.028', 'test_acc=0.303', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.298', 'test_macc=0.449', 'test_g_mean=0.423']
['[2000,5000]', 'loss=0.488', 'test_acu=0.629', 'test_f1_score=0.028', 'test_acc=0.303', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.298', 'test_macc=0.449', 'test_g_mean=0.423']
['[2100,5000]', 'loss=0.487', 'test_acu=0.629', 'test_f1_score=0.028', 'test_acc=0.310', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.305', 'test_macc=0.452', 'test_g_mean=0.428']
['[2200,5000]', 'loss=0.487', 'test_acu=0.629', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[2300,5000]', 'loss=0.487', 'test_acu=0.628', 'test_f1_score=0.029', 'test_acc=0.327', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.322', 'test_macc=0.461', 'test_g_mean=0.439']
['[2400,5000]', 'loss=0.486', 'test_acu=0.629', 'test_f1_score=0.029', 'test_acc=0.327', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.322', 'test_macc=0.461', 'test_g_mean=0.439']
['[2500,5000]', 'loss=0.486', 'test_acu=0.629', 'test_f1_score=0.029', 'test_acc=0.327', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.322', 'test_macc=0.461', 'test_g_mean=0.439']
['[2600,5000]', 'loss=0.486', 'test_acu=0.628', 'test_f1_score=0.029', 'test_acc=0.323', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.318', 'test_macc=0.459', 'test_g_mean=0.437']
['[2700,5000]', 'loss=0.485', 'test_acu=0.626', 'test_f1_score=0.029', 'test_acc=0.313', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.308', 'test_macc=0.454', 'test_g_mean=0.430']
['[2800,5000]', 'loss=0.485', 'test_acu=0.624', 'test_f1_score=0.028', 'test_acc=0.306', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.301', 'test_macc=0.451', 'test_g_mean=0.425']
['[2900,5000]', 'loss=0.485', 'test_acu=0.623', 'test_f1_score=0.028', 'test_acc=0.296', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.291', 'test_macc=0.446', 'test_g_mean=0.418']
['[3000,5000]', 'loss=0.484', 'test_acu=0.623', 'test_f1_score=0.028', 'test_acc=0.296', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.291', 'test_macc=0.446', 'test_g_mean=0.418']
['[3100,5000]', 'loss=0.484', 'test_acu=0.622', 'test_f1_score=0.028', 'test_acc=0.293', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.288', 'test_macc=0.444', 'test_g_mean=0.415']
['[3200,5000]', 'loss=0.484', 'test_acu=0.619', 'test_f1_score=0.028', 'test_acc=0.293', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.288', 'test_macc=0.444', 'test_g_mean=0.415']
['[3300,5000]', 'loss=0.483', 'test_acu=0.621', 'test_f1_score=0.028', 'test_acc=0.286', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.281', 'test_macc=0.440', 'test_g_mean=0.410']
['[3400,5000]', 'loss=0.483', 'test_acu=0.622', 'test_f1_score=0.036', 'test_acc=0.279', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.271', 'test_macc=0.535', 'test_g_mean=0.465']
['[3500,5000]', 'loss=0.483', 'test_acu=0.621', 'test_f1_score=0.036', 'test_acc=0.276', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.267', 'test_macc=0.534', 'test_g_mean=0.462']
['[3600,5000]', 'loss=0.482', 'test_acu=0.620', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[3700,5000]', 'loss=0.482', 'test_acu=0.618', 'test_f1_score=0.035', 'test_acc=0.263', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.253', 'test_macc=0.527', 'test_g_mean=0.450']
['[3800,5000]', 'loss=0.482', 'test_acu=0.621', 'test_f1_score=0.035', 'test_acc=0.259', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.250', 'test_macc=0.525', 'test_g_mean=0.447']
['[3900,5000]', 'loss=0.481', 'test_acu=0.621', 'test_f1_score=0.035', 'test_acc=0.249', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.240', 'test_macc=0.520', 'test_g_mean=0.438']
['[4000,5000]', 'loss=0.481', 'test_acu=0.619', 'test_f1_score=0.034', 'test_acc=0.242', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.233', 'test_macc=0.516', 'test_g_mean=0.432']
['[4100,5000]', 'loss=0.481', 'test_acu=0.618', 'test_f1_score=0.034', 'test_acc=0.239', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.229', 'test_macc=0.515', 'test_g_mean=0.428']
['[4200,5000]', 'loss=0.480', 'test_acu=0.617', 'test_f1_score=0.034', 'test_acc=0.229', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.219', 'test_macc=0.510', 'test_g_mean=0.419']
['[4300,5000]', 'loss=0.480', 'test_acu=0.616', 'test_f1_score=0.034', 'test_acc=0.229', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.219', 'test_macc=0.510', 'test_g_mean=0.419']
['[4400,5000]', 'loss=0.480', 'test_acu=0.614', 'test_f1_score=0.034', 'test_acc=0.226', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.216', 'test_macc=0.508', 'test_g_mean=0.415']
['[4500,5000]', 'loss=0.479', 'test_acu=0.612', 'test_f1_score=0.034', 'test_acc=0.226', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.216', 'test_macc=0.508', 'test_g_mean=0.415']
['[4600,5000]', 'loss=0.479', 'test_acu=0.610', 'test_f1_score=0.033', 'test_acc=0.222', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.212', 'test_macc=0.506', 'test_g_mean=0.412']
['[4700,5000]', 'loss=0.479', 'test_acu=0.609', 'test_f1_score=0.033', 'test_acc=0.219', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.209', 'test_macc=0.504', 'test_g_mean=0.409']
['[4800,5000]', 'loss=0.478', 'test_acu=0.608', 'test_f1_score=0.033', 'test_acc=0.219', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.209', 'test_macc=0.504', 'test_g_mean=0.409']
['[4900,5000]', 'loss=0.478', 'test_acu=0.609', 'test_f1_score=0.033', 'test_acc=0.199', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.188', 'test_macc=0.494', 'test_g_mean=0.388']
2 fold training
['[0,5000]', 'loss=0.598', 'test_acu=0.811', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.561', 'test_acu=0.848', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.536', 'test_acu=0.845', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.521', 'test_acu=0.835', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.512', 'test_acu=0.821', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.506', 'test_acu=0.812', 'test_f1_score=0.034', 'test_acc=0.034', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.017', 'test_macc=0.509', 'test_g_mean=0.131']
['[600,5000]', 'loss=0.503', 'test_acu=0.808', 'test_f1_score=0.034', 'test_acc=0.057', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.041', 'test_macc=0.521', 'test_g_mean=0.203']
['[700,5000]', 'loss=0.501', 'test_acu=0.807', 'test_f1_score=0.036', 'test_acc=0.098', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.082', 'test_macc=0.541', 'test_g_mean=0.287']
['[800,5000]', 'loss=0.500', 'test_acu=0.804', 'test_f1_score=0.022', 'test_acc=0.118', 'test_ppr=0.011', 'test_sen=0.600', 'test_spe=0.110', 'test_macc=0.355', 'test_g_mean=0.256']
['[900,5000]', 'loss=0.499', 'test_acu=0.804', 'test_f1_score=0.023', 'test_acc=0.152', 'test_ppr=0.012', 'test_sen=0.600', 'test_spe=0.144', 'test_macc=0.372', 'test_g_mean=0.294']
['[1000,5000]', 'loss=0.498', 'test_acu=0.804', 'test_f1_score=0.025', 'test_acc=0.205', 'test_ppr=0.013', 'test_sen=0.600', 'test_spe=0.199', 'test_macc=0.399', 'test_g_mean=0.345']
['[1100,5000]', 'loss=0.498', 'test_acu=0.804', 'test_f1_score=0.009', 'test_acc=0.229', 'test_ppr=0.004', 'test_sen=0.200', 'test_spe=0.229', 'test_macc=0.215', 'test_g_mean=0.214']
['[1200,5000]', 'loss=0.497', 'test_acu=0.805', 'test_f1_score=0.009', 'test_acc=0.253', 'test_ppr=0.005', 'test_sen=0.200', 'test_spe=0.253', 'test_macc=0.227', 'test_g_mean=0.225']
['[1300,5000]', 'loss=0.497', 'test_acu=0.804', 'test_f1_score=0.009', 'test_acc=0.276', 'test_ppr=0.005', 'test_sen=0.200', 'test_spe=0.277', 'test_macc=0.239', 'test_g_mean=0.236']
['[1400,5000]', 'loss=0.497', 'test_acu=0.803', 'test_f1_score=0.009', 'test_acc=0.290', 'test_ppr=0.005', 'test_sen=0.200', 'test_spe=0.291', 'test_macc=0.246', 'test_g_mean=0.241']
['[1500,5000]', 'loss=0.497', 'test_acu=0.801', 'test_f1_score=0.010', 'test_acc=0.303', 'test_ppr=0.005', 'test_sen=0.200', 'test_spe=0.305', 'test_macc=0.252', 'test_g_mean=0.247']
['[1600,5000]', 'loss=0.496', 'test_acu=0.799', 'test_f1_score=0.000', 'test_acc=0.327', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.332', 'test_macc=0.166', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.496', 'test_acu=0.800', 'test_f1_score=0.000', 'test_acc=0.333', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.339', 'test_macc=0.170', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.496', 'test_acu=0.797', 'test_f1_score=0.000', 'test_acc=0.347', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.353', 'test_macc=0.176', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.496', 'test_acu=0.799', 'test_f1_score=0.000', 'test_acc=0.350', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.356', 'test_macc=0.178', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.495', 'test_acu=0.799', 'test_f1_score=0.000', 'test_acc=0.350', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.356', 'test_macc=0.178', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.495', 'test_acu=0.797', 'test_f1_score=0.000', 'test_acc=0.350', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.356', 'test_macc=0.178', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.495', 'test_acu=0.798', 'test_f1_score=0.000', 'test_acc=0.354', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.360', 'test_macc=0.180', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.495', 'test_acu=0.798', 'test_f1_score=0.000', 'test_acc=0.354', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.360', 'test_macc=0.180', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.495', 'test_acu=0.799', 'test_f1_score=0.000', 'test_acc=0.367', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.373', 'test_macc=0.187', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.494', 'test_acu=0.799', 'test_f1_score=0.000', 'test_acc=0.367', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.373', 'test_macc=0.187', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.494', 'test_acu=0.799', 'test_f1_score=0.000', 'test_acc=0.370', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.377', 'test_macc=0.188', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.494', 'test_acu=0.800', 'test_f1_score=0.000', 'test_acc=0.374', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.380', 'test_macc=0.190', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.494', 'test_acu=0.802', 'test_f1_score=0.000', 'test_acc=0.374', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.380', 'test_macc=0.190', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.494', 'test_acu=0.801', 'test_f1_score=0.000', 'test_acc=0.380', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.387', 'test_macc=0.193', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.493', 'test_acu=0.800', 'test_f1_score=0.000', 'test_acc=0.380', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.387', 'test_macc=0.193', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.493', 'test_acu=0.801', 'test_f1_score=0.000', 'test_acc=0.377', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.384', 'test_macc=0.192', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.493', 'test_acu=0.803', 'test_f1_score=0.000', 'test_acc=0.377', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.384', 'test_macc=0.192', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.493', 'test_acu=0.803', 'test_f1_score=0.000', 'test_acc=0.377', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.384', 'test_macc=0.192', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.493', 'test_acu=0.805', 'test_f1_score=0.000', 'test_acc=0.374', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.380', 'test_macc=0.190', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.492', 'test_acu=0.806', 'test_f1_score=0.000', 'test_acc=0.374', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.380', 'test_macc=0.190', 'test_g_mean=0.000']
