1 fold training
['[0,5000]', 'loss=0.609', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.560', 'test_acu=0.647', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.529', 'test_acu=0.639', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.511', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.020', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.059']
['[400,5000]', 'loss=0.502', 'test_acu=0.634', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.496', 'test_acu=0.635', 'test_f1_score=0.034', 'test_acc=0.040', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[600,5000]', 'loss=0.493', 'test_acu=0.635', 'test_f1_score=0.035', 'test_acc=0.074', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.058', 'test_macc=0.529', 'test_g_mean=0.241']
['[700,5000]', 'loss=0.491', 'test_acu=0.634', 'test_f1_score=0.030', 'test_acc=0.118', 'test_ppr=0.015', 'test_sen=0.800', 'test_spe=0.106', 'test_macc=0.453', 'test_g_mean=0.291']
['[800,5000]', 'loss=0.490', 'test_acu=0.635', 'test_f1_score=0.031', 'test_acc=0.162', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.151', 'test_macc=0.475', 'test_g_mean=0.347']
['[900,5000]', 'loss=0.489', 'test_acu=0.634', 'test_f1_score=0.032', 'test_acc=0.192', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.182', 'test_macc=0.491', 'test_g_mean=0.381']
['[1000,5000]', 'loss=0.488', 'test_acu=0.634', 'test_f1_score=0.033', 'test_acc=0.215', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.205', 'test_macc=0.503', 'test_g_mean=0.405']
['[1100,5000]', 'loss=0.488', 'test_acu=0.634', 'test_f1_score=0.034', 'test_acc=0.236', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.226', 'test_macc=0.513', 'test_g_mean=0.425']
['[1200,5000]', 'loss=0.487', 'test_acu=0.634', 'test_f1_score=0.035', 'test_acc=0.263', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.253', 'test_macc=0.527', 'test_g_mean=0.450']
['[1300,5000]', 'loss=0.487', 'test_acu=0.634', 'test_f1_score=0.036', 'test_acc=0.279', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.271', 'test_macc=0.535', 'test_g_mean=0.465']
['[1400,5000]', 'loss=0.486', 'test_acu=0.634', 'test_f1_score=0.028', 'test_acc=0.296', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.291', 'test_macc=0.446', 'test_g_mean=0.418']
['[1500,5000]', 'loss=0.486', 'test_acu=0.634', 'test_f1_score=0.028', 'test_acc=0.310', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.305', 'test_macc=0.452', 'test_g_mean=0.428']
['[1600,5000]', 'loss=0.485', 'test_acu=0.633', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[1700,5000]', 'loss=0.485', 'test_acu=0.632', 'test_f1_score=0.029', 'test_acc=0.323', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.318', 'test_macc=0.459', 'test_g_mean=0.437']
['[1800,5000]', 'loss=0.484', 'test_acu=0.631', 'test_f1_score=0.029', 'test_acc=0.327', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.322', 'test_macc=0.461', 'test_g_mean=0.439']
['[1900,5000]', 'loss=0.484', 'test_acu=0.632', 'test_f1_score=0.029', 'test_acc=0.330', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.325', 'test_macc=0.463', 'test_g_mean=0.442']
['[2000,5000]', 'loss=0.483', 'test_acu=0.630', 'test_f1_score=0.029', 'test_acc=0.327', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.322', 'test_macc=0.461', 'test_g_mean=0.439']
['[2100,5000]', 'loss=0.483', 'test_acu=0.629', 'test_f1_score=0.029', 'test_acc=0.320', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.315', 'test_macc=0.458', 'test_g_mean=0.435']
['[2200,5000]', 'loss=0.482', 'test_acu=0.627', 'test_f1_score=0.029', 'test_acc=0.320', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.315', 'test_macc=0.458', 'test_g_mean=0.435']
['[2300,5000]', 'loss=0.481', 'test_acu=0.627', 'test_f1_score=0.028', 'test_acc=0.303', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.298', 'test_macc=0.449', 'test_g_mean=0.423']
['[2400,5000]', 'loss=0.481', 'test_acu=0.623', 'test_f1_score=0.028', 'test_acc=0.306', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.301', 'test_macc=0.451', 'test_g_mean=0.425']
['[2500,5000]', 'loss=0.480', 'test_acu=0.622', 'test_f1_score=0.028', 'test_acc=0.293', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.288', 'test_macc=0.444', 'test_g_mean=0.415']
['[2600,5000]', 'loss=0.479', 'test_acu=0.623', 'test_f1_score=0.036', 'test_acc=0.286', 'test_ppr=0.019', 'test_sen=0.800', 'test_spe=0.277', 'test_macc=0.539', 'test_g_mean=0.471']
['[2700,5000]', 'loss=0.479', 'test_acu=0.626', 'test_f1_score=0.036', 'test_acc=0.283', 'test_ppr=0.019', 'test_sen=0.800', 'test_spe=0.274', 'test_macc=0.537', 'test_g_mean=0.468']
['[2800,5000]', 'loss=0.478', 'test_acu=0.622', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[2900,5000]', 'loss=0.477', 'test_acu=0.621', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[3000,5000]', 'loss=0.476', 'test_acu=0.623', 'test_f1_score=0.035', 'test_acc=0.259', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.250', 'test_macc=0.525', 'test_g_mean=0.447']
['[3100,5000]', 'loss=0.475', 'test_acu=0.623', 'test_f1_score=0.035', 'test_acc=0.263', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.253', 'test_macc=0.527', 'test_g_mean=0.450']
['[3200,5000]', 'loss=0.475', 'test_acu=0.625', 'test_f1_score=0.035', 'test_acc=0.256', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.247', 'test_macc=0.523', 'test_g_mean=0.444']
['[3300,5000]', 'loss=0.474', 'test_acu=0.625', 'test_f1_score=0.035', 'test_acc=0.256', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.247', 'test_macc=0.523', 'test_g_mean=0.444']
['[3400,5000]', 'loss=0.473', 'test_acu=0.621', 'test_f1_score=0.035', 'test_acc=0.256', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.247', 'test_macc=0.523', 'test_g_mean=0.444']
