1 fold training
['[0,5000]', 'loss=0.589', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.545', 'test_acu=0.642', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.516', 'test_acu=0.636', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.498', 'test_acu=0.636', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.488', 'test_acu=0.632', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.482', 'test_acu=0.629', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[600,5000]', 'loss=0.479', 'test_acu=0.628', 'test_f1_score=0.034', 'test_acc=0.037', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.021', 'test_macc=0.510', 'test_g_mean=0.143']
['[700,5000]', 'loss=0.477', 'test_acu=0.626', 'test_f1_score=0.035', 'test_acc=0.064', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.048', 'test_macc=0.524', 'test_g_mean=0.219']
['[800,5000]', 'loss=0.475', 'test_acu=0.626', 'test_f1_score=0.036', 'test_acc=0.094', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.079', 'test_macc=0.539', 'test_g_mean=0.281']
['[900,5000]', 'loss=0.474', 'test_acu=0.626', 'test_f1_score=0.030', 'test_acc=0.118', 'test_ppr=0.015', 'test_sen=0.800', 'test_spe=0.106', 'test_macc=0.453', 'test_g_mean=0.291']
['[1000,5000]', 'loss=0.473', 'test_acu=0.626', 'test_f1_score=0.031', 'test_acc=0.148', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.137', 'test_macc=0.468', 'test_g_mean=0.331']
['[1100,5000]', 'loss=0.472', 'test_acu=0.625', 'test_f1_score=0.031', 'test_acc=0.168', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.158', 'test_macc=0.479', 'test_g_mean=0.355']
['[1200,5000]', 'loss=0.471', 'test_acu=0.625', 'test_f1_score=0.032', 'test_acc=0.195', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.185', 'test_macc=0.492', 'test_g_mean=0.385']
['[1300,5000]', 'loss=0.470', 'test_acu=0.625', 'test_f1_score=0.033', 'test_acc=0.215', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.205', 'test_macc=0.503', 'test_g_mean=0.405']
['[1400,5000]', 'loss=0.469', 'test_acu=0.625', 'test_f1_score=0.034', 'test_acc=0.226', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.216', 'test_macc=0.508', 'test_g_mean=0.415']
['[1500,5000]', 'loss=0.468', 'test_acu=0.625', 'test_f1_score=0.034', 'test_acc=0.242', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.233', 'test_macc=0.516', 'test_g_mean=0.432']
['[1600,5000]', 'loss=0.468', 'test_acu=0.626', 'test_f1_score=0.035', 'test_acc=0.253', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.243', 'test_macc=0.522', 'test_g_mean=0.441']
['[1700,5000]', 'loss=0.467', 'test_acu=0.626', 'test_f1_score=0.035', 'test_acc=0.259', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.250', 'test_macc=0.525', 'test_g_mean=0.447']
['[1800,5000]', 'loss=0.466', 'test_acu=0.626', 'test_f1_score=0.035', 'test_acc=0.266', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.257', 'test_macc=0.528', 'test_g_mean=0.453']
['[1900,5000]', 'loss=0.466', 'test_acu=0.627', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[2000,5000]', 'loss=0.465', 'test_acu=0.627', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[2100,5000]', 'loss=0.464', 'test_acu=0.627', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[2200,5000]', 'loss=0.463', 'test_acu=0.627', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[2300,5000]', 'loss=0.463', 'test_acu=0.627', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[2400,5000]', 'loss=0.462', 'test_acu=0.627', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
