1 fold training
['[0,5000]', 'loss=0.653', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.595', 'test_acu=0.640', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.555', 'test_acu=0.634', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.531', 'test_acu=0.626', 'test_f1_score=0.033', 'test_acc=0.020', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.059']
['[400,5000]', 'loss=0.517', 'test_acu=0.623', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.509', 'test_acu=0.623', 'test_f1_score=0.034', 'test_acc=0.034', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.017', 'test_macc=0.509', 'test_g_mean=0.131']
['[600,5000]', 'loss=0.505', 'test_acu=0.618', 'test_f1_score=0.035', 'test_acc=0.071', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.055', 'test_macc=0.527', 'test_g_mean=0.234']
['[700,5000]', 'loss=0.502', 'test_acu=0.619', 'test_f1_score=0.036', 'test_acc=0.111', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.096', 'test_macc=0.548', 'test_g_mean=0.310']
['[800,5000]', 'loss=0.500', 'test_acu=0.618', 'test_f1_score=0.031', 'test_acc=0.145', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.134', 'test_macc=0.467', 'test_g_mean=0.327']
['[900,5000]', 'loss=0.498', 'test_acu=0.616', 'test_f1_score=0.033', 'test_acc=0.205', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.195', 'test_macc=0.498', 'test_g_mean=0.395']
['[1000,5000]', 'loss=0.497', 'test_acu=0.616', 'test_f1_score=0.034', 'test_acc=0.226', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.216', 'test_macc=0.508', 'test_g_mean=0.415']
['[1100,5000]', 'loss=0.496', 'test_acu=0.616', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[1200,5000]', 'loss=0.495', 'test_acu=0.616', 'test_f1_score=0.028', 'test_acc=0.303', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.298', 'test_macc=0.449', 'test_g_mean=0.423']
['[1300,5000]', 'loss=0.494', 'test_acu=0.616', 'test_f1_score=0.029', 'test_acc=0.330', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.325', 'test_macc=0.463', 'test_g_mean=0.442']
['[1400,5000]', 'loss=0.493', 'test_acu=0.614', 'test_f1_score=0.021', 'test_acc=0.357', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.356', 'test_macc=0.378', 'test_g_mean=0.377']
['[1500,5000]', 'loss=0.492', 'test_acu=0.613', 'test_f1_score=0.021', 'test_acc=0.374', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.373', 'test_macc=0.387', 'test_g_mean=0.386']
['[1600,5000]', 'loss=0.491', 'test_acu=0.612', 'test_f1_score=0.021', 'test_acc=0.384', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.384', 'test_macc=0.392', 'test_g_mean=0.392']
['[1700,5000]', 'loss=0.491', 'test_acu=0.610', 'test_f1_score=0.022', 'test_acc=0.411', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.411', 'test_macc=0.405', 'test_g_mean=0.405']
['[1800,5000]', 'loss=0.490', 'test_acu=0.610', 'test_f1_score=0.023', 'test_acc=0.421', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.421', 'test_macc=0.411', 'test_g_mean=0.410']
['[1900,5000]', 'loss=0.489', 'test_acu=0.610', 'test_f1_score=0.023', 'test_acc=0.421', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.421', 'test_macc=0.411', 'test_g_mean=0.410']
['[2000,5000]', 'loss=0.488', 'test_acu=0.610', 'test_f1_score=0.023', 'test_acc=0.421', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.421', 'test_macc=0.411', 'test_g_mean=0.410']
['[2100,5000]', 'loss=0.487', 'test_acu=0.610', 'test_f1_score=0.023', 'test_acc=0.428', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.428', 'test_macc=0.414', 'test_g_mean=0.414']
