1 fold training
['[0,5000]', 'loss=0.603', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.561', 'test_acu=0.643', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.533', 'test_acu=0.639', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.516', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.020', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.059']
['[400,5000]', 'loss=0.506', 'test_acu=0.634', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.501', 'test_acu=0.633', 'test_f1_score=0.033', 'test_acc=0.027', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.101']
['[600,5000]', 'loss=0.497', 'test_acu=0.630', 'test_f1_score=0.034', 'test_acc=0.051', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.034', 'test_macc=0.517', 'test_g_mean=0.185']
['[700,5000]', 'loss=0.495', 'test_acu=0.631', 'test_f1_score=0.035', 'test_acc=0.081', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.065', 'test_macc=0.533', 'test_g_mean=0.255']
['[800,5000]', 'loss=0.494', 'test_acu=0.631', 'test_f1_score=0.030', 'test_acc=0.118', 'test_ppr=0.015', 'test_sen=0.800', 'test_spe=0.106', 'test_macc=0.453', 'test_g_mean=0.291']
['[900,5000]', 'loss=0.493', 'test_acu=0.630', 'test_f1_score=0.031', 'test_acc=0.148', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.137', 'test_macc=0.468', 'test_g_mean=0.331']
['[1000,5000]', 'loss=0.492', 'test_acu=0.630', 'test_f1_score=0.032', 'test_acc=0.175', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.164', 'test_macc=0.482', 'test_g_mean=0.363']
['[1100,5000]', 'loss=0.492', 'test_acu=0.629', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.199', 'test_macc=0.499', 'test_g_mean=0.399']
