1 fold training
['[0,5000]', 'loss=0.576', 'test_acu=0.639', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.545', 'test_acu=0.647', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.523', 'test_acu=0.639', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.509', 'test_acu=0.635', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.500', 'test_acu=0.635', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.495', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[600,5000]', 'loss=0.492', 'test_acu=0.633', 'test_f1_score=0.034', 'test_acc=0.034', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.017', 'test_macc=0.509', 'test_g_mean=0.131']
['[700,5000]', 'loss=0.490', 'test_acu=0.632', 'test_f1_score=0.034', 'test_acc=0.057', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.041', 'test_macc=0.521', 'test_g_mean=0.203']
['[800,5000]', 'loss=0.489', 'test_acu=0.630', 'test_f1_score=0.036', 'test_acc=0.091', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.075', 'test_macc=0.538', 'test_g_mean=0.274']
['[900,5000]', 'loss=0.488', 'test_acu=0.630', 'test_f1_score=0.030', 'test_acc=0.118', 'test_ppr=0.015', 'test_sen=0.800', 'test_spe=0.106', 'test_macc=0.453', 'test_g_mean=0.291']
['[1000,5000]', 'loss=0.488', 'test_acu=0.631', 'test_f1_score=0.031', 'test_acc=0.145', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.134', 'test_macc=0.467', 'test_g_mean=0.327']
['[1100,5000]', 'loss=0.487', 'test_acu=0.632', 'test_f1_score=0.031', 'test_acc=0.172', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.161', 'test_macc=0.480', 'test_g_mean=0.359']
['[1200,5000]', 'loss=0.487', 'test_acu=0.632', 'test_f1_score=0.032', 'test_acc=0.192', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.182', 'test_macc=0.491', 'test_g_mean=0.381']
['[1300,5000]', 'loss=0.487', 'test_acu=0.632', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.199', 'test_macc=0.499', 'test_g_mean=0.399']
['[1400,5000]', 'loss=0.487', 'test_acu=0.632', 'test_f1_score=0.033', 'test_acc=0.222', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.212', 'test_macc=0.506', 'test_g_mean=0.412']
['[1500,5000]', 'loss=0.487', 'test_acu=0.632', 'test_f1_score=0.034', 'test_acc=0.236', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.226', 'test_macc=0.513', 'test_g_mean=0.425']
['[1600,5000]', 'loss=0.486', 'test_acu=0.633', 'test_f1_score=0.034', 'test_acc=0.246', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.236', 'test_macc=0.518', 'test_g_mean=0.435']
['[1700,5000]', 'loss=0.486', 'test_acu=0.633', 'test_f1_score=0.035', 'test_acc=0.263', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.253', 'test_macc=0.527', 'test_g_mean=0.450']
['[1800,5000]', 'loss=0.486', 'test_acu=0.634', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[1900,5000]', 'loss=0.486', 'test_acu=0.634', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[2000,5000]', 'loss=0.486', 'test_acu=0.637', 'test_f1_score=0.036', 'test_acc=0.276', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.267', 'test_macc=0.534', 'test_g_mean=0.462']
['[2100,5000]', 'loss=0.486', 'test_acu=0.637', 'test_f1_score=0.027', 'test_acc=0.279', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.274', 'test_macc=0.437', 'test_g_mean=0.405']
['[2200,5000]', 'loss=0.485', 'test_acu=0.638', 'test_f1_score=0.028', 'test_acc=0.293', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.288', 'test_macc=0.444', 'test_g_mean=0.415']
['[2300,5000]', 'loss=0.485', 'test_acu=0.638', 'test_f1_score=0.028', 'test_acc=0.293', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.288', 'test_macc=0.444', 'test_g_mean=0.415']
['[2400,5000]', 'loss=0.485', 'test_acu=0.637', 'test_f1_score=0.028', 'test_acc=0.303', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.298', 'test_macc=0.449', 'test_g_mean=0.423']
['[2500,5000]', 'loss=0.485', 'test_acu=0.636', 'test_f1_score=0.028', 'test_acc=0.306', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.301', 'test_macc=0.451', 'test_g_mean=0.425']
['[2600,5000]', 'loss=0.485', 'test_acu=0.635', 'test_f1_score=0.029', 'test_acc=0.313', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.308', 'test_macc=0.454', 'test_g_mean=0.430']
['[2700,5000]', 'loss=0.485', 'test_acu=0.634', 'test_f1_score=0.029', 'test_acc=0.313', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.308', 'test_macc=0.454', 'test_g_mean=0.430']
['[2800,5000]', 'loss=0.485', 'test_acu=0.632', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[2900,5000]', 'loss=0.484', 'test_acu=0.635', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[3000,5000]', 'loss=0.484', 'test_acu=0.635', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[3100,5000]', 'loss=0.484', 'test_acu=0.636', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[3200,5000]', 'loss=0.484', 'test_acu=0.635', 'test_f1_score=0.029', 'test_acc=0.320', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.315', 'test_macc=0.458', 'test_g_mean=0.435']
['[3300,5000]', 'loss=0.484', 'test_acu=0.634', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[3400,5000]', 'loss=0.484', 'test_acu=0.638', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[3500,5000]', 'loss=0.483', 'test_acu=0.638', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[3600,5000]', 'loss=0.483', 'test_acu=0.636', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[3700,5000]', 'loss=0.483', 'test_acu=0.638', 'test_f1_score=0.029', 'test_acc=0.316', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.312', 'test_macc=0.456', 'test_g_mean=0.432']
['[3800,5000]', 'loss=0.483', 'test_acu=0.639', 'test_f1_score=0.028', 'test_acc=0.303', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.298', 'test_macc=0.449', 'test_g_mean=0.423']
['[3900,5000]', 'loss=0.483', 'test_acu=0.640', 'test_f1_score=0.028', 'test_acc=0.303', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.298', 'test_macc=0.449', 'test_g_mean=0.423']
['[4000,5000]', 'loss=0.483', 'test_acu=0.638', 'test_f1_score=0.028', 'test_acc=0.303', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.298', 'test_macc=0.449', 'test_g_mean=0.423']
['[4100,5000]', 'loss=0.483', 'test_acu=0.638', 'test_f1_score=0.028', 'test_acc=0.300', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.295', 'test_macc=0.447', 'test_g_mean=0.420']
['[4200,5000]', 'loss=0.483', 'test_acu=0.638', 'test_f1_score=0.028', 'test_acc=0.296', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.291', 'test_macc=0.446', 'test_g_mean=0.418']
['[4300,5000]', 'loss=0.482', 'test_acu=0.642', 'test_f1_score=0.028', 'test_acc=0.296', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.291', 'test_macc=0.446', 'test_g_mean=0.418']
['[4400,5000]', 'loss=0.482', 'test_acu=0.642', 'test_f1_score=0.028', 'test_acc=0.296', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.291', 'test_macc=0.446', 'test_g_mean=0.418']
['[4500,5000]', 'loss=0.482', 'test_acu=0.642', 'test_f1_score=0.028', 'test_acc=0.296', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.291', 'test_macc=0.446', 'test_g_mean=0.418']
['[4600,5000]', 'loss=0.482', 'test_acu=0.644', 'test_f1_score=0.028', 'test_acc=0.300', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.295', 'test_macc=0.447', 'test_g_mean=0.420']
['[4700,5000]', 'loss=0.482', 'test_acu=0.642', 'test_f1_score=0.037', 'test_acc=0.296', 'test_ppr=0.019', 'test_sen=0.800', 'test_spe=0.288', 'test_macc=0.544', 'test_g_mean=0.480']
['[4800,5000]', 'loss=0.482', 'test_acu=0.641', 'test_f1_score=0.037', 'test_acc=0.296', 'test_ppr=0.019', 'test_sen=0.800', 'test_spe=0.288', 'test_macc=0.544', 'test_g_mean=0.480']
['[4900,5000]', 'loss=0.482', 'test_acu=0.642', 'test_f1_score=0.037', 'test_acc=0.293', 'test_ppr=0.019', 'test_sen=0.800', 'test_spe=0.284', 'test_macc=0.542', 'test_g_mean=0.477']
2 fold training
['[0,5000]', 'loss=0.596', 'test_acu=0.811', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.560', 'test_acu=0.847', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.536', 'test_acu=0.845', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.521', 'test_acu=0.838', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.511', 'test_acu=0.831', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.506', 'test_acu=0.827', 'test_f1_score=0.034', 'test_acc=0.034', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.017', 'test_macc=0.509', 'test_g_mean=0.131']
['[600,5000]', 'loss=0.503', 'test_acu=0.820', 'test_f1_score=0.034', 'test_acc=0.057', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.041', 'test_macc=0.521', 'test_g_mean=0.203']
['[700,5000]', 'loss=0.501', 'test_acu=0.820', 'test_f1_score=0.029', 'test_acc=0.094', 'test_ppr=0.015', 'test_sen=0.800', 'test_spe=0.082', 'test_macc=0.441', 'test_g_mean=0.256']
['[800,5000]', 'loss=0.499', 'test_acu=0.821', 'test_f1_score=0.023', 'test_acc=0.125', 'test_ppr=0.011', 'test_sen=0.600', 'test_spe=0.116', 'test_macc=0.358', 'test_g_mean=0.264']
