1 fold training
['[0,5000]', 'loss=0.602', 'test_acu=0.638', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.563', 'test_acu=0.647', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.537', 'test_acu=0.639', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.521', 'test_acu=0.636', 'test_f1_score=0.033', 'test_acc=0.020', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.059']
['[400,5000]', 'loss=0.511', 'test_acu=0.637', 'test_f1_score=0.033', 'test_acc=0.024', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.083']
['[500,5000]', 'loss=0.506', 'test_acu=0.635', 'test_f1_score=0.034', 'test_acc=0.034', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.017', 'test_macc=0.509', 'test_g_mean=0.131']
['[600,5000]', 'loss=0.502', 'test_acu=0.634', 'test_f1_score=0.034', 'test_acc=0.057', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.041', 'test_macc=0.521', 'test_g_mean=0.203']
['[700,5000]', 'loss=0.500', 'test_acu=0.635', 'test_f1_score=0.036', 'test_acc=0.111', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.096', 'test_macc=0.548', 'test_g_mean=0.310']
['[800,5000]', 'loss=0.499', 'test_acu=0.635', 'test_f1_score=0.031', 'test_acc=0.145', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.134', 'test_macc=0.467', 'test_g_mean=0.327']
['[900,5000]', 'loss=0.498', 'test_acu=0.635', 'test_f1_score=0.032', 'test_acc=0.182', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.171', 'test_macc=0.486', 'test_g_mean=0.370']
['[1000,5000]', 'loss=0.498', 'test_acu=0.635', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.199', 'test_macc=0.499', 'test_g_mean=0.399']
['[1100,5000]', 'loss=0.497', 'test_acu=0.634', 'test_f1_score=0.034', 'test_acc=0.232', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.223', 'test_macc=0.511', 'test_g_mean=0.422']
['[1200,5000]', 'loss=0.497', 'test_acu=0.633', 'test_f1_score=0.035', 'test_acc=0.256', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.247', 'test_macc=0.523', 'test_g_mean=0.444']
