1 fold training
['[0,5000]', 'loss=0.566', 'test_acu=0.936', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.518', 'test_acu=0.888', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.487', 'test_acu=0.842', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.470', 'test_acu=0.820', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.461', 'test_acu=0.794', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.000', 'test_macc=0.375', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.455', 'test_acu=0.788', 'test_f1_score=0.022', 'test_acc=0.017', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.006', 'test_macc=0.253', 'test_g_mean=0.053']
['[600,5000]', 'loss=0.451', 'test_acu=0.788', 'test_f1_score=0.022', 'test_acc=0.017', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.006', 'test_macc=0.253', 'test_g_mean=0.053']
['[700,5000]', 'loss=0.448', 'test_acu=0.795', 'test_f1_score=0.022', 'test_acc=0.022', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.011', 'test_macc=0.256', 'test_g_mean=0.075']
['[800,5000]', 'loss=0.446', 'test_acu=0.803', 'test_f1_score=0.022', 'test_acc=0.033', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.023', 'test_macc=0.261', 'test_g_mean=0.107']
['[900,5000]', 'loss=0.444', 'test_acu=0.817', 'test_f1_score=0.023', 'test_acc=0.050', 'test_ppr=0.012', 'test_sen=0.500', 'test_spe=0.040', 'test_macc=0.270', 'test_g_mean=0.141']
['[1000,5000]', 'loss=0.442', 'test_acu=0.830', 'test_f1_score=0.024', 'test_acc=0.078', 'test_ppr=0.012', 'test_sen=0.500', 'test_spe=0.068', 'test_macc=0.284', 'test_g_mean=0.185']
['[1100,5000]', 'loss=0.440', 'test_acu=0.837', 'test_f1_score=0.024', 'test_acc=0.094', 'test_ppr=0.012', 'test_sen=0.500', 'test_spe=0.085', 'test_macc=0.293', 'test_g_mean=0.206']
['[1200,5000]', 'loss=0.439', 'test_acu=0.849', 'test_f1_score=0.025', 'test_acc=0.128', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.119', 'test_macc=0.310', 'test_g_mean=0.244']
['[1300,5000]', 'loss=0.437', 'test_acu=0.859', 'test_f1_score=0.025', 'test_acc=0.144', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.136', 'test_macc=0.318', 'test_g_mean=0.261']
['[1400,5000]', 'loss=0.435', 'test_acu=0.866', 'test_f1_score=0.013', 'test_acc=0.150', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.148', 'test_macc=0.199', 'test_g_mean=0.192']
