1 fold training
['[0,5000]', 'loss=0.577', 'test_acu=0.936', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.532', 'test_acu=0.892', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.504', 'test_acu=0.851', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.488', 'test_acu=0.828', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.479', 'test_acu=0.820', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.000', 'test_macc=0.375', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.474', 'test_acu=0.818', 'test_f1_score=0.022', 'test_acc=0.017', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.006', 'test_macc=0.253', 'test_g_mean=0.053']
['[600,5000]', 'loss=0.471', 'test_acu=0.820', 'test_f1_score=0.022', 'test_acc=0.017', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.006', 'test_macc=0.253', 'test_g_mean=0.053']
['[700,5000]', 'loss=0.469', 'test_acu=0.835', 'test_f1_score=0.022', 'test_acc=0.033', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.023', 'test_macc=0.261', 'test_g_mean=0.107']
['[800,5000]', 'loss=0.468', 'test_acu=0.845', 'test_f1_score=0.023', 'test_acc=0.050', 'test_ppr=0.012', 'test_sen=0.500', 'test_spe=0.040', 'test_macc=0.270', 'test_g_mean=0.141']
['[900,5000]', 'loss=0.466', 'test_acu=0.858', 'test_f1_score=0.024', 'test_acc=0.078', 'test_ppr=0.012', 'test_sen=0.500', 'test_spe=0.068', 'test_macc=0.284', 'test_g_mean=0.185']
['[1000,5000]', 'loss=0.466', 'test_acu=0.866', 'test_f1_score=0.025', 'test_acc=0.128', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.119', 'test_macc=0.310', 'test_g_mean=0.244']
['[1100,5000]', 'loss=0.465', 'test_acu=0.878', 'test_f1_score=0.013', 'test_acc=0.139', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.136', 'test_macc=0.193', 'test_g_mean=0.185']
['[1200,5000]', 'loss=0.464', 'test_acu=0.888', 'test_f1_score=0.013', 'test_acc=0.156', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.153', 'test_macc=0.202', 'test_g_mean=0.196']
['[1300,5000]', 'loss=0.463', 'test_acu=0.902', 'test_f1_score=0.014', 'test_acc=0.189', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.188', 'test_macc=0.219', 'test_g_mean=0.217']
['[1400,5000]', 'loss=0.462', 'test_acu=0.909', 'test_f1_score=0.014', 'test_acc=0.211', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.210', 'test_macc=0.230', 'test_g_mean=0.229']
['[1500,5000]', 'loss=0.462', 'test_acu=0.915', 'test_f1_score=0.014', 'test_acc=0.222', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.222', 'test_macc=0.236', 'test_g_mean=0.235']
['[1600,5000]', 'loss=0.461', 'test_acu=0.918', 'test_f1_score=0.014', 'test_acc=0.228', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.227', 'test_macc=0.239', 'test_g_mean=0.238']
['[1700,5000]', 'loss=0.460', 'test_acu=0.928', 'test_f1_score=0.014', 'test_acc=0.239', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.239', 'test_macc=0.244', 'test_g_mean=0.244']
['[1800,5000]', 'loss=0.460', 'test_acu=0.929', 'test_f1_score=0.014', 'test_acc=0.244', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.244', 'test_macc=0.247', 'test_g_mean=0.247']
['[1900,5000]', 'loss=0.459', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.244', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.250', 'test_macc=0.125', 'test_g_mean=0.000']
