1 fold training
['[0,5000]', 'loss=0.564', 'test_acu=0.936', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.522', 'test_acu=0.892', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.496', 'test_acu=0.861', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.480', 'test_acu=0.839', 'test_f1_score=0.043', 'test_acc=0.022', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.472', 'test_acu=0.832', 'test_f1_score=0.033', 'test_acc=0.017', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.000', 'test_macc=0.375', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.467', 'test_acu=0.831', 'test_f1_score=0.022', 'test_acc=0.017', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.006', 'test_macc=0.253', 'test_g_mean=0.053']
['[600,5000]', 'loss=0.464', 'test_acu=0.834', 'test_f1_score=0.022', 'test_acc=0.022', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.011', 'test_macc=0.256', 'test_g_mean=0.075']
['[700,5000]', 'loss=0.462', 'test_acu=0.845', 'test_f1_score=0.022', 'test_acc=0.033', 'test_ppr=0.011', 'test_sen=0.500', 'test_spe=0.023', 'test_macc=0.261', 'test_g_mean=0.107']
['[800,5000]', 'loss=0.460', 'test_acu=0.855', 'test_f1_score=0.023', 'test_acc=0.044', 'test_ppr=0.012', 'test_sen=0.500', 'test_spe=0.034', 'test_macc=0.267', 'test_g_mean=0.131']
['[900,5000]', 'loss=0.459', 'test_acu=0.865', 'test_f1_score=0.023', 'test_acc=0.061', 'test_ppr=0.012', 'test_sen=0.500', 'test_spe=0.051', 'test_macc=0.276', 'test_g_mean=0.160']
['[1000,5000]', 'loss=0.458', 'test_acu=0.876', 'test_f1_score=0.025', 'test_acc=0.117', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.108', 'test_macc=0.304', 'test_g_mean=0.232']
['[1100,5000]', 'loss=0.457', 'test_acu=0.882', 'test_f1_score=0.013', 'test_acc=0.128', 'test_ppr=0.006', 'test_sen=0.250', 'test_spe=0.125', 'test_macc=0.188', 'test_g_mean=0.177']
['[1200,5000]', 'loss=0.456', 'test_acu=0.889', 'test_f1_score=0.013', 'test_acc=0.139', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.136', 'test_macc=0.193', 'test_g_mean=0.185']
['[1300,5000]', 'loss=0.455', 'test_acu=0.901', 'test_f1_score=0.013', 'test_acc=0.167', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.165', 'test_macc=0.207', 'test_g_mean=0.203']
['[1400,5000]', 'loss=0.454', 'test_acu=0.911', 'test_f1_score=0.014', 'test_acc=0.200', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.199', 'test_macc=0.224', 'test_g_mean=0.223']
['[1500,5000]', 'loss=0.453', 'test_acu=0.913', 'test_f1_score=0.014', 'test_acc=0.211', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.210', 'test_macc=0.230', 'test_g_mean=0.229']
['[1600,5000]', 'loss=0.452', 'test_acu=0.920', 'test_f1_score=0.014', 'test_acc=0.211', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.210', 'test_macc=0.230', 'test_g_mean=0.229']
['[1700,5000]', 'loss=0.451', 'test_acu=0.928', 'test_f1_score=0.014', 'test_acc=0.222', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.222', 'test_macc=0.236', 'test_g_mean=0.235']
['[1800,5000]', 'loss=0.450', 'test_acu=0.930', 'test_f1_score=0.014', 'test_acc=0.233', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.233', 'test_macc=0.241', 'test_g_mean=0.241']
['[1900,5000]', 'loss=0.449', 'test_acu=0.933', 'test_f1_score=0.014', 'test_acc=0.233', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.233', 'test_macc=0.241', 'test_g_mean=0.241']
['[2000,5000]', 'loss=0.449', 'test_acu=0.933', 'test_f1_score=0.000', 'test_acc=0.233', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.239', 'test_macc=0.119', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.448', 'test_acu=0.936', 'test_f1_score=0.000', 'test_acc=0.239', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.244', 'test_macc=0.122', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.447', 'test_acu=0.938', 'test_f1_score=0.000', 'test_acc=0.244', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.250', 'test_macc=0.125', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.446', 'test_acu=0.945', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.446', 'test_acu=0.945', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.445', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.444', 'test_acu=0.947', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.444', 'test_acu=0.947', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.443', 'test_acu=0.947', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.442', 'test_acu=0.949', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.256', 'test_macc=0.128', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.442', 'test_acu=0.950', 'test_f1_score=0.000', 'test_acc=0.256', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.261', 'test_macc=0.131', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.441', 'test_acu=0.950', 'test_f1_score=0.000', 'test_acc=0.256', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.261', 'test_macc=0.131', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.440', 'test_acu=0.950', 'test_f1_score=0.000', 'test_acc=0.261', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.267', 'test_macc=0.134', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.440', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.261', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.267', 'test_macc=0.134', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.439', 'test_acu=0.956', 'test_f1_score=0.000', 'test_acc=0.261', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.267', 'test_macc=0.134', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.439', 'test_acu=0.956', 'test_f1_score=0.000', 'test_acc=0.261', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.267', 'test_macc=0.134', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.438', 'test_acu=0.957', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.437', 'test_acu=0.955', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.437', 'test_acu=0.952', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.436', 'test_acu=0.952', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.436', 'test_acu=0.952', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.435', 'test_acu=0.950', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.435', 'test_acu=0.949', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.284', 'test_macc=0.142', 'test_g_mean=0.000']
['[4300,5000]', 'loss=0.434', 'test_acu=0.949', 'test_f1_score=0.000', 'test_acc=0.289', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.148', 'test_g_mean=0.000']
['[4400,5000]', 'loss=0.434', 'test_acu=0.949', 'test_f1_score=0.000', 'test_acc=0.289', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.148', 'test_g_mean=0.000']
['[4500,5000]', 'loss=0.433', 'test_acu=0.945', 'test_f1_score=0.000', 'test_acc=0.289', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.148', 'test_g_mean=0.000']
['[4600,5000]', 'loss=0.433', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.294', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.301', 'test_macc=0.151', 'test_g_mean=0.000']
['[4700,5000]', 'loss=0.433', 'test_acu=0.945', 'test_f1_score=0.000', 'test_acc=0.294', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.301', 'test_macc=0.151', 'test_g_mean=0.000']
['[4800,5000]', 'loss=0.432', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.294', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.301', 'test_macc=0.151', 'test_g_mean=0.000']
