1 fold training
['[0,5000]', 'loss=0.499', 'test_acu=0.364', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.059', 'test_acu=0.061', 'test_f1_score=0.069', 'test_acc=0.206', 'test_ppr=0.036', 'test_sen=1.000', 'test_spe=0.182', 'test_macc=0.591', 'test_g_mean=0.426']
['[200,5000]', 'loss=0.059', 'test_acu=0.061', 'test_f1_score=0.071', 'test_acc=0.235', 'test_ppr=0.037', 'test_sen=1.000', 'test_spe=0.212', 'test_macc=0.606', 'test_g_mean=0.461']
['[300,5000]', 'loss=0.059', 'test_acu=0.061', 'test_f1_score=0.071', 'test_acc=0.235', 'test_ppr=0.037', 'test_sen=1.000', 'test_spe=0.212', 'test_macc=0.606', 'test_g_mean=0.461']
['[400,5000]', 'loss=0.059', 'test_acu=0.091', 'test_f1_score=0.071', 'test_acc=0.235', 'test_ppr=0.037', 'test_sen=1.000', 'test_spe=0.212', 'test_macc=0.606', 'test_g_mean=0.461']
['[500,5000]', 'loss=0.059', 'test_acu=0.121', 'test_f1_score=0.074', 'test_acc=0.265', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.242', 'test_macc=0.621', 'test_g_mean=0.492']
['[600,5000]', 'loss=0.059', 'test_acu=0.152', 'test_f1_score=0.077', 'test_acc=0.294', 'test_ppr=0.040', 'test_sen=1.000', 'test_spe=0.273', 'test_macc=0.636', 'test_g_mean=0.522']
['[700,5000]', 'loss=0.059', 'test_acu=0.212', 'test_f1_score=0.083', 'test_acc=0.353', 'test_ppr=0.043', 'test_sen=1.000', 'test_spe=0.333', 'test_macc=0.667', 'test_g_mean=0.577']
['[800,5000]', 'loss=0.059', 'test_acu=0.242', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[900,5000]', 'loss=0.059', 'test_acu=0.273', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1000,5000]', 'loss=0.059', 'test_acu=0.303', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1100,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1200,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1300,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1400,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1500,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1600,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1700,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1800,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[1900,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[2000,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[2100,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[2200,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[2300,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[2400,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[2500,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[2600,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[2700,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[2800,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[2900,5000]', 'loss=0.059', 'test_acu=0.333', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[3000,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[3100,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.087', 'test_acc=0.382', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.364', 'test_macc=0.682', 'test_g_mean=0.603']
['[3200,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[3300,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[3400,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[3500,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[3600,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[3700,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[3800,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[3900,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[4000,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[4100,5000]', 'loss=0.059', 'test_acu=0.364', 'test_f1_score=0.091', 'test_acc=0.412', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
