1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.961', 'test_acu=0.061', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.325', 'test_acu=0.394', 'test_f1_score=0.000', 'test_acc=0.647', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.667', 'test_macc=0.333', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.096', 'test_acu=0.545', 'test_f1_score=0.000', 'test_acc=0.529', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.545', 'test_macc=0.273', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.059', 'test_acu=0.424', 'test_f1_score=0.000', 'test_acc=0.706', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.727', 'test_macc=0.364', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.058', 'test_acu=0.455', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.059', 'test_acu=0.394', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.059', 'test_acu=0.394', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.060', 'test_acu=0.333', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.060', 'test_acu=0.242', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.060', 'test_acu=0.152', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.060', 'test_acu=0.121', 'test_f1_score=0.000', 'test_acc=0.971', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
