1 fold training
['[0,5000]', 'loss=0.565', 'test_acu=0.061', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.534', 'test_acu=0.091', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.514', 'test_acu=0.121', 'test_f1_score=0.057', 'test_acc=0.029', 'test_ppr=0.029', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.503', 'test_acu=0.121', 'test_f1_score=0.061', 'test_acc=0.088', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.061', 'test_macc=0.530', 'test_g_mean=0.246']
['[400,5000]', 'loss=0.496', 'test_acu=0.121', 'test_f1_score=0.074', 'test_acc=0.265', 'test_ppr=0.038', 'test_sen=1.000', 'test_spe=0.242', 'test_macc=0.621', 'test_g_mean=0.492']
['[500,5000]', 'loss=0.493', 'test_acu=0.121', 'test_f1_score=0.083', 'test_acc=0.353', 'test_ppr=0.043', 'test_sen=1.000', 'test_spe=0.333', 'test_macc=0.667', 'test_g_mean=0.577']
['[600,5000]', 'loss=0.490', 'test_acu=0.121', 'test_f1_score=0.095', 'test_acc=0.441', 'test_ppr=0.050', 'test_sen=1.000', 'test_spe=0.424', 'test_macc=0.712', 'test_g_mean=0.651']
['[700,5000]', 'loss=0.489', 'test_acu=0.121', 'test_f1_score=0.105', 'test_acc=0.500', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.485', 'test_macc=0.742', 'test_g_mean=0.696']
['[800,5000]', 'loss=0.488', 'test_acu=0.121', 'test_f1_score=0.118', 'test_acc=0.559', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.545', 'test_macc=0.773', 'test_g_mean=0.739']
['[900,5000]', 'loss=0.487', 'test_acu=0.121', 'test_f1_score=0.167', 'test_acc=0.706', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.697', 'test_macc=0.848', 'test_g_mean=0.835']
['[1000,5000]', 'loss=0.486', 'test_acu=0.121', 'test_f1_score=0.182', 'test_acc=0.735', 'test_ppr=0.100', 'test_sen=1.000', 'test_spe=0.727', 'test_macc=0.864', 'test_g_mean=0.853']
['[1100,5000]', 'loss=0.486', 'test_acu=0.121', 'test_f1_score=0.222', 'test_acc=0.794', 'test_ppr=0.125', 'test_sen=1.000', 'test_spe=0.788', 'test_macc=0.894', 'test_g_mean=0.888']
['[1200,5000]', 'loss=0.485', 'test_acu=0.121', 'test_f1_score=0.222', 'test_acc=0.794', 'test_ppr=0.125', 'test_sen=1.000', 'test_spe=0.788', 'test_macc=0.894', 'test_g_mean=0.888']
['[1300,5000]', 'loss=0.485', 'test_acu=0.121', 'test_f1_score=0.250', 'test_acc=0.824', 'test_ppr=0.143', 'test_sen=1.000', 'test_spe=0.818', 'test_macc=0.909', 'test_g_mean=0.905']
['[1400,5000]', 'loss=0.485', 'test_acu=0.121', 'test_f1_score=0.286', 'test_acc=0.853', 'test_ppr=0.167', 'test_sen=1.000', 'test_spe=0.848', 'test_macc=0.924', 'test_g_mean=0.921']
['[1500,5000]', 'loss=0.484', 'test_acu=0.121', 'test_f1_score=0.286', 'test_acc=0.853', 'test_ppr=0.167', 'test_sen=1.000', 'test_spe=0.848', 'test_macc=0.924', 'test_g_mean=0.921']
['[1600,5000]', 'loss=0.484', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[1700,5000]', 'loss=0.483', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[1800,5000]', 'loss=0.483', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[1900,5000]', 'loss=0.482', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[2000,5000]', 'loss=0.482', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[2100,5000]', 'loss=0.482', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[2200,5000]', 'loss=0.481', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[2300,5000]', 'loss=0.481', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[2400,5000]', 'loss=0.480', 'test_acu=0.121', 'test_f1_score=0.333', 'test_acc=0.882', 'test_ppr=0.200', 'test_sen=1.000', 'test_spe=0.879', 'test_macc=0.939', 'test_g_mean=0.937']
['[2500,5000]', 'loss=0.480', 'test_acu=0.121', 'test_f1_score=0.000', 'test_acc=0.853', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.879', 'test_macc=0.439', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.479', 'test_acu=0.091', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.479', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.478', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.478', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.478', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.477', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.477', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.476', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.476', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.475', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.475', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.474', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.473', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.473', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.472', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.472', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.471', 'test_acu=0.061', 'test_f1_score=0.000', 'test_acc=0.912', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.939', 'test_macc=0.470', 'test_g_mean=0.000']
