1 fold training
['[0,5000]', 'loss=0.799', 'test_acu=0.300', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.090', 'test_acu=0.700', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[200,5000]', 'loss=0.091', 'test_acu=0.600', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[300,5000]', 'loss=0.092', 'test_acu=0.650', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[400,5000]', 'loss=0.093', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[500,5000]', 'loss=0.093', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[600,5000]', 'loss=0.094', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[700,5000]', 'loss=0.094', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[800,5000]', 'loss=0.094', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[900,5000]', 'loss=0.094', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1000,5000]', 'loss=0.095', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1100,5000]', 'loss=0.095', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1200,5000]', 'loss=0.095', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1300,5000]', 'loss=0.095', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1400,5000]', 'loss=0.095', 'test_acu=0.600', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1500,5000]', 'loss=0.095', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1600,5000]', 'loss=0.095', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1700,5000]', 'loss=0.095', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1800,5000]', 'loss=0.095', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[1900,5000]', 'loss=0.095', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2000,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2100,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2200,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2300,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2400,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2500,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2600,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2700,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2800,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[2900,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[3000,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3100,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3200,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3300,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3400,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3500,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3600,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3700,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3800,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[3900,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4000,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4100,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4200,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4300,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4400,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4500,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4600,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4700,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[4800,5000]', 'loss=0.096', 'test_acu=0.550', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
