1 fold training
['[0,5000]', 'loss=0.662', 'test_acu=0.100', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.623', 'test_acu=0.200', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.587', 'test_acu=0.300', 'test_f1_score=0.100', 'test_acc=0.143', 'test_ppr=0.053', 'test_sen=1.000', 'test_spe=0.100', 'test_macc=0.550', 'test_g_mean=0.316']
['[300,5000]', 'loss=0.559', 'test_acu=0.300', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[400,5000]', 'loss=0.539', 'test_acu=0.300', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[500,5000]', 'loss=0.524', 'test_acu=0.300', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[600,5000]', 'loss=0.510', 'test_acu=0.300', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[700,5000]', 'loss=0.499', 'test_acu=0.450', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[800,5000]', 'loss=0.488', 'test_acu=0.550', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[900,5000]', 'loss=0.479', 'test_acu=0.550', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[1000,5000]', 'loss=0.469', 'test_acu=0.600', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[1100,5000]', 'loss=0.461', 'test_acu=0.600', 'test_f1_score=0.143', 'test_acc=0.429', 'test_ppr=0.077', 'test_sen=1.000', 'test_spe=0.400', 'test_macc=0.700', 'test_g_mean=0.632']
['[1200,5000]', 'loss=0.452', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.381', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.400', 'test_macc=0.200', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.445', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.476', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.437', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.524', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.550', 'test_macc=0.275', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.429', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.700', 'test_macc=0.350', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.422', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.700', 'test_macc=0.350', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.415', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.700', 'test_macc=0.350', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.409', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.714', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.750', 'test_macc=0.375', 'test_g_mean=0.000']
