1 fold training
set gamma = -0.5
['[0,5000]', 'loss=1.039', 'test_acu=0.150', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.322', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.700', 'test_macc=0.350', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.096', 'test_acu=0.650', 'test_f1_score=0.000', 'test_acc=0.810', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.850', 'test_macc=0.425', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.079', 'test_acu=0.750', 'test_f1_score=0.000', 'test_acc=0.571', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.600', 'test_macc=0.300', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.091', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.097', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.099', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.100', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.100', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.100', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.100', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.100', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.100', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.100', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.100', 'test_acu=0.850', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.100', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.100', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.100', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.100', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.100', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.093', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.083', 'test_acu=0.800', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.070', 'test_acu=0.650', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.062', 'test_acu=0.600', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.061', 'test_acu=0.450', 'test_f1_score=0.000', 'test_acc=0.810', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.850', 'test_macc=0.425', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.058', 'test_acu=0.700', 'test_f1_score=0.000', 'test_acc=0.857', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.900', 'test_macc=0.450', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.051', 'test_acu=0.650', 'test_f1_score=0.000', 'test_acc=0.857', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.900', 'test_macc=0.450', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.041', 'test_acu=0.550', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.031', 'test_acu=0.550', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.027', 'test_acu=0.550', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.025', 'test_acu=0.550', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.025', 'test_acu=0.550', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.025', 'test_acu=0.450', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.025', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.025', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.025', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.025', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.025', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.025', 'test_acu=0.250', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.025', 'test_acu=0.300', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
