1 fold training
['[0,5000]', 'loss=0.652', 'test_acu=0.100', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.615', 'test_acu=0.200', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.581', 'test_acu=0.300', 'test_f1_score=0.100', 'test_acc=0.143', 'test_ppr=0.053', 'test_sen=1.000', 'test_spe=0.100', 'test_macc=0.550', 'test_g_mean=0.316']
['[300,5000]', 'loss=0.551', 'test_acu=0.300', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[400,5000]', 'loss=0.525', 'test_acu=0.300', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[500,5000]', 'loss=0.503', 'test_acu=0.300', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[600,5000]', 'loss=0.485', 'test_acu=0.450', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[700,5000]', 'loss=0.470', 'test_acu=0.400', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[800,5000]', 'loss=0.457', 'test_acu=0.450', 'test_f1_score=0.143', 'test_acc=0.429', 'test_ppr=0.077', 'test_sen=1.000', 'test_spe=0.400', 'test_macc=0.700', 'test_g_mean=0.632']
['[900,5000]', 'loss=0.445', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.476', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.435', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.619', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.650', 'test_macc=0.325', 'test_g_mean=0.000']
