1 fold training
['[0,5000]', 'loss=0.815', 'test_acu=0.100', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.760', 'test_acu=0.200', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.704', 'test_acu=0.250', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.650', 'test_acu=0.250', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.603', 'test_acu=0.200', 'test_f1_score=0.100', 'test_acc=0.143', 'test_ppr=0.053', 'test_sen=1.000', 'test_spe=0.100', 'test_macc=0.550', 'test_g_mean=0.316']
['[500,5000]', 'loss=0.562', 'test_acu=0.200', 'test_f1_score=0.105', 'test_acc=0.190', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.150', 'test_macc=0.575', 'test_g_mean=0.387']
['[600,5000]', 'loss=0.529', 'test_acu=0.250', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[700,5000]', 'loss=0.502', 'test_acu=0.350', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[800,5000]', 'loss=0.480', 'test_acu=0.350', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[900,5000]', 'loss=0.462', 'test_acu=0.400', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[1000,5000]', 'loss=0.446', 'test_acu=0.450', 'test_f1_score=0.143', 'test_acc=0.429', 'test_ppr=0.077', 'test_sen=1.000', 'test_spe=0.400', 'test_macc=0.700', 'test_g_mean=0.632']
['[1100,5000]', 'loss=0.431', 'test_acu=0.450', 'test_f1_score=0.154', 'test_acc=0.476', 'test_ppr=0.083', 'test_sen=1.000', 'test_spe=0.450', 'test_macc=0.725', 'test_g_mean=0.671']
['[1200,5000]', 'loss=0.417', 'test_acu=0.450', 'test_f1_score=0.167', 'test_acc=0.524', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.500', 'test_macc=0.750', 'test_g_mean=0.707']
['[1300,5000]', 'loss=0.404', 'test_acu=0.450', 'test_f1_score=0.182', 'test_acc=0.571', 'test_ppr=0.100', 'test_sen=1.000', 'test_spe=0.550', 'test_macc=0.775', 'test_g_mean=0.742']
['[1400,5000]', 'loss=0.391', 'test_acu=0.450', 'test_f1_score=0.182', 'test_acc=0.571', 'test_ppr=0.100', 'test_sen=1.000', 'test_spe=0.550', 'test_macc=0.775', 'test_g_mean=0.742']
['[1500,5000]', 'loss=0.378', 'test_acu=0.450', 'test_f1_score=0.182', 'test_acc=0.571', 'test_ppr=0.100', 'test_sen=1.000', 'test_spe=0.550', 'test_macc=0.775', 'test_g_mean=0.742']
['[1600,5000]', 'loss=0.364', 'test_acu=0.450', 'test_f1_score=0.182', 'test_acc=0.571', 'test_ppr=0.100', 'test_sen=1.000', 'test_spe=0.550', 'test_macc=0.775', 'test_g_mean=0.742']
['[1700,5000]', 'loss=0.351', 'test_acu=0.450', 'test_f1_score=0.182', 'test_acc=0.571', 'test_ppr=0.100', 'test_sen=1.000', 'test_spe=0.550', 'test_macc=0.775', 'test_g_mean=0.742']
['[1800,5000]', 'loss=0.338', 'test_acu=0.450', 'test_f1_score=0.182', 'test_acc=0.571', 'test_ppr=0.100', 'test_sen=1.000', 'test_spe=0.550', 'test_macc=0.775', 'test_g_mean=0.742']
