1 fold training
['[0,5000]', 'loss=0.742', 'test_acu=0.100', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.671', 'test_acu=0.200', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.594', 'test_acu=0.300', 'test_f1_score=0.100', 'test_acc=0.143', 'test_ppr=0.053', 'test_sen=1.000', 'test_spe=0.100', 'test_macc=0.550', 'test_g_mean=0.316']
['[300,5000]', 'loss=0.535', 'test_acu=0.300', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[400,5000]', 'loss=0.498', 'test_acu=0.500', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[500,5000]', 'loss=0.474', 'test_acu=0.550', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[600,5000]', 'loss=0.455', 'test_acu=0.500', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[700,5000]', 'loss=0.438', 'test_acu=0.500', 'test_f1_score=0.143', 'test_acc=0.429', 'test_ppr=0.077', 'test_sen=1.000', 'test_spe=0.400', 'test_macc=0.700', 'test_g_mean=0.632']
['[800,5000]', 'loss=0.422', 'test_acu=0.500', 'test_f1_score=0.167', 'test_acc=0.524', 'test_ppr=0.091', 'test_sen=1.000', 'test_spe=0.500', 'test_macc=0.750', 'test_g_mean=0.707']
['[900,5000]', 'loss=0.407', 'test_acu=0.450', 'test_f1_score=0.000', 'test_acc=0.524', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.550', 'test_macc=0.275', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.391', 'test_acu=0.450', 'test_f1_score=0.000', 'test_acc=0.571', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.600', 'test_macc=0.300', 'test_g_mean=0.000']
