1 fold training
['[0,5000]', 'loss=0.700', 'test_acu=0.100', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.659', 'test_acu=0.200', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.619', 'test_acu=0.300', 'test_f1_score=0.091', 'test_acc=0.048', 'test_ppr=0.048', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.582', 'test_acu=0.300', 'test_f1_score=0.100', 'test_acc=0.143', 'test_ppr=0.053', 'test_sen=1.000', 'test_spe=0.100', 'test_macc=0.550', 'test_g_mean=0.316']
['[400,5000]', 'loss=0.550', 'test_acu=0.300', 'test_f1_score=0.111', 'test_acc=0.238', 'test_ppr=0.059', 'test_sen=1.000', 'test_spe=0.200', 'test_macc=0.600', 'test_g_mean=0.447']
['[500,5000]', 'loss=0.523', 'test_acu=0.300', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[600,5000]', 'loss=0.501', 'test_acu=0.450', 'test_f1_score=0.118', 'test_acc=0.286', 'test_ppr=0.062', 'test_sen=1.000', 'test_spe=0.250', 'test_macc=0.625', 'test_g_mean=0.500']
['[700,5000]', 'loss=0.483', 'test_acu=0.450', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[800,5000]', 'loss=0.467', 'test_acu=0.500', 'test_f1_score=0.125', 'test_acc=0.333', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.300', 'test_macc=0.650', 'test_g_mean=0.548']
['[900,5000]', 'loss=0.452', 'test_acu=0.500', 'test_f1_score=0.143', 'test_acc=0.429', 'test_ppr=0.077', 'test_sen=1.000', 'test_spe=0.400', 'test_macc=0.700', 'test_g_mean=0.632']
['[1000,5000]', 'loss=0.438', 'test_acu=0.500', 'test_f1_score=0.000', 'test_acc=0.476', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
